"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
27,7,2707,"大阪7区",118290,8114,60682,6769,1159,23151,259,8038,23071,2195,3644
27,8,2708,"大阪8区",122302,8033,60142,10939,1334,26952,327,8891,21555,2309,3600
27,9,2709,"大阪9区",109373,5943,47091,10954,1352,29152,201,9810,23368,2072,2572
27,10,2710,"大阪10区",90551,3918,42950,12532,1231,21464,156,9061,20389,1428,2645
27,11,2711,"大阪11区",109695,5008,48198,11176,948,31194,107,12391,16677,1856,3073
27,12,2712,"大阪12区",95678,4543,35377,5069,916,27067,95,10101,22325,1791,3597
27,13,2713,"大阪13区",105679,6133,35501,2183,855,27075,112,9698,30397,1937,4236
27,14,2714,"大阪14区",120179,5727,42562,3379,1347,37928,99,10713,28400,2164,4008
27,15,2715,"大阪15区",105344,4358,36715,6921,1311,42385,115,9390,16795,1949,3372
27,16,2716,"大阪16区",93572,4983,39818,4223,1352,26336,131,4197,20112,1719,3205
27,17,2717,"大阪17区",90752,3492,32019,6003,1264,35123,117,6604,16645,1824,3231
27,18,2718,"大阪18区",122206,5121,41735,5195,1792,50248,124,8531,20887,2346,4061
27,19,2719,"大阪19区",87380,3295,30012,2937,1576,39452,116,6509,12100,1647,2793
28,1,2801,"兵庫1区",111296,11762,62331,9227,1665,20282,469,6048,9730,1851,3544
28,2,2802,"兵庫2区",104677,7387,44249,11970,1309,36304,219,7192,8079,1965,3636
28,3,2803,"兵庫3区",82667,3806,42862,15344,1148,25167,153,6580,4159,1442,2380
28,4,2804,"兵庫4区",125875,6073,26911,10375,1301,75297,105,5999,11050,1835,3413
28,5,2805,"兵庫5区",110742,5575,23287,9535,1112,69962,98,3694,8717,1818,2039
28,6,2806,"兵庫6区",122363,8014,55133,13181,1246,30927,217,11438,20645,2216,3690
28,7,2807,"兵庫7区",126478,6404,70806,10671,1462,26651,508,6972,21274,2047,3748
28,8,2808,"兵庫8区",100755,5842,41227,7054,1140,22208,123,7446,27562,1928,3196
28,9,2809,"兵庫9区",99364,5504,32152,6534,1398,45354,75,5167,12554,1799,3074
28,10,2810,"兵庫10区",106207,3976,25734,3028,2199,53504,61,5864,21853,1597,2989
28,11,2811,"兵庫11区",128292,7094,21960,5203,1577,74093,154,5639,22909,1976,2397
28,12,2812,"兵庫12区",84040,3874,8824,1553,650,61322,43,3063,8880,1395,1406
29,1,2901,"奈良1区",108347,5193,51819,14530,1075,38739,152,5425,10591,1774,2363
29,2,2902,"奈良2区",110075,5222,39692,5137,1108,50757,82,7280,13422,1747,2718
29,3,2903,"奈良3区",95044,4134,26893,1963,1053,53813,64,4304,8496,1601,2507
30,1,3001,"和歌山1区",112512,4710,11630,2623,876,67989,107,12926,16388,2015,3498
30,2,3002,"和歌山2区",103199,5664,9280,1623,1076,74037,47,6102,8348,1845,2431
31,1,3101,"鳥取1区",68990,4876,2522,1361,686,51503,56,821,7840,943,1864
31,2,3102,"鳥取2区",68377,3762,2368,618,428,53946,55,756,7115,1006,1357
32,1,3201,"島根1区",80391,5717,1688,2157,1029,59198,169,1650,9455,1307,1830
32,2,3202,"島根2区",92767,6545,2155,942,1325,72613,73,1385,7380,1364,2081
33,1,3301,"岡山1区",103298,7553,8209,3159,736,60293,167,4088,23645,1805,2360
33,2,3302,"岡山2区",123837,4265,8587,3402,1203,84262,145,6026,20121,2311,3336
33,3,3303,"岡山3区",118888,6432,5708,1211,747,92301,77,3162,10225,1651,3271
33,4,3304,"岡山4区",118212,4237,9282,1577,785,86523,116,4044,15901,1651,3608
