"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
21,2,2102,"岐阜2区",358439,296488,52018,48334,23222,0,0,15079,10033,3684,162,9771
21,3,2103,"岐阜3区",495524,379277,78337,73740,30417,0,0,25485,17838,4597,116,37794
21,4,2104,"岐阜4区",398648,315945,59856,55541,27048,0,0,15867,12626,4315,56,22791
21,5,2105,"岐阜5区",323574,261045,45560,43072,21922,0,0,9645,11505,2488,54,16915
22,1,2201,"静岡1区",462323,329868,96776,94623,59738,46476,13262,12121,22764,2153,115,35564
22,2,2202,"静岡2区",452533,365736,76460,71905,37149,0,0,23635,11121,4555,69,10268
22,3,2203,"静岡3区",465839,363028,84840,78158,39921,0,0,24660,13577,6682,259,17712
22,4,2204,"静岡4区",373922,291386,61274,59265,38775,22312,3735,8677,11813,2009,83,21179
22,5,2205,"静岡5区",531311,397729,102547,99439,49371,0,0,24597,25471,3108,114,30921
22,6,2206,"静岡6区",498671,369259,89520,86964,39459,0,0,24223,23282,2556,128,39764
22,7,2207,"静岡7区",384238,307299,67725,64117,45160,24361,16049,6697,12260,3608,78,9136
22,8,2208,"静岡8区",464365,338284,103244,98685,64141,42464,21677,10931,23613,4559,78,22759
23,1,2301,"愛知1区",491530,278464,113777,110242,57581,32630,24951,17677,34984,3535,265,99024
23,2,2302,"愛知2区",506587,313127,118944,114411,58834,34843,23991,17603,37974,4533,273,74243
23,3,2303,"愛知3区",521218,335416,110576,106557,60840,35812,25028,19122,26595,4019,153,75073
23,4,2304,"愛知4区",453514,296527,88364,84870,55401,31285,24116,11682,17787,3494,162,68461
23,5,2305,"愛知5区",426679,267989,86890,84554,47282,26774,15860,17102,20170,2336,185,71615
23,6,2306,"愛知6区",436473,319231,76797,73981,36790,0,0,22777,14414,2816,119,40326
23,7,2307,"愛知7区",441147,315885,85590,81400,24992,0,0,39490,16918,4190,260,39412
23,8,2308,"愛知8区",535372,402036,89018,84909,34883,0,0,35293,14733,4109,272,44046
23,9,2309,"愛知9区",459985,359160,71865,67757,26350,0,0,29516,11891,4108,192,28768
23,10,2310,"愛知10区",428056,309125,64414,62301,33781,0,0,16693,11827,2113,113,54404
23,11,2311,"愛知11区",484282,352287,86919,80863,42143,0,0,20429,18291,6056,121,44955
23,12,2312,"愛知12区",553700,415195,95197,88799,48503,0,0,25878,14418,6398,178,43130
23,13,2313,"愛知13区",532581,375185,102174,94527,39100,0,0,37937,17490,7647,161,55061
23,14,2314,"愛知14区",359399,279362,64829,61183,32510,0,0,20039,8634,3646,96,15112
23,15,2315,"愛知15区",431280,328314,79759,73976,47333,0,0,13200,13443,5783,402,22805
23,16,2316,"愛知16区",480612,352142,82082,77437,30495,0,0,29857,17085,4645,163,46225
24,1,2401,"三重1区",433682,328247,74704,71321,39003,0,0,15719,16599,3383,132,30599
24,2,2402,"三重2区",497672,371243,78062,72751,38531,0,0,15497,18723,5311,160,48207
24,3,2403,"三重3区",500506,369932,78809,74328,33540,0,0,18423,22365,4481,219,51546
24,4,2404,"三重4区",338394,279541,49087,47371,24902,0,0,13140,9329,1716,155,9611
25,1,2501,"滋賀1区",391447,282472,63065,61537,29146,0,0,7907,24484,1528,140,45770
25,2,2502,"滋賀2区",532863,423094,79575,74895,33954,0,0,20286,20655,4680,148,30046
25,3,2503,"滋賀3区",489300,353611,84845,80099,28865,0,0,23750,27484,4746,181,50663
26,1,2601,"京都1区",496239,283245,95224,91319,47059,24371,22688,5047,39213,3905,167,117603
26,2,2602,"京都2区",337742,199069,61235,58423,30329,20164,10165,2282,25812,2812,240,77198
26,3,2603,"京都3区",431278,283450,72731,70402,34558,18981,6873,14571,21273,2329,264,74833
26,4,2604,"京都4区",482594,319983,71402,69856,40468,21450,11619,9212,20176,1546,197,91012
26,5,2605,"京都5区",279126,215881,45525,44366,23325,0,0,8472,12569,1159,94,17626
26,6,2606,"京都6区",551108,414125,79198,75787,28255,0,0,20553,26979,3411,318,57467
27,1,2701,"大阪1区",533094,237343,111570,106737,53771,29705,24066,16653,36313,4833,231,183950
27,2,2702,"大阪2区",558305,320402,90706,87958,59562,39216,20346,13048,15348,2748,329,146868
27,3,2703,"大阪3区",441322,250615,70196,68004,47038,33183,13855,8689,12277,2192,329,120182
27,4,2704,"大阪4区",495651,258279,101782,99267,51331,29290,22041,15273,32663,2515,296,135294
27,5,2705,"大阪5区",521679,282547,98751,95654,49178,36288,12890,13456,33020,3097,207,140174
27,6,2706,"大阪6区",465221,296871,77102,75517,39224,12989,7203,21033,15260,1585,272,90976
27,7,2707,"大阪7区",473023,296735,104390,101719,34788,0,0,26374,40557,2671,158,71740
27,8,2708,"大阪8区",506551,327565,108900,105335,43042,0,0,25301,36992,3565,242,69844
27,9,2709,"大阪9区",451956,303354,86721,84194,33128,0,0,24566,26500,2527,214,61667
27,10,2710,"大阪10区",383625,270597,64987,63722,32079,0,0,13614,18029,1265,135,47906
27,11,2711,"大阪11区",472322,331616,71033,69696,33802,0,0,17374,18520,1337,171,69502
27,12,2712,"大阪12区",404277,284921,59006,57717,28239,0,0,18832,10646,1289,228,60122
27,13,2713,"大阪13区",493940,305529,66798,64939,35817,0,0,15139,13983,1859,194,121419
27,14,2714,"大阪14区",505841,362445,76544,74608,37017,0,0,24401,13190,1936,345,66507
27,15,2715,"大阪15区",457686,340409,61281,59989,27301,1500,847,23109,9579,1292,244,55752
27,16,2716,"大阪16区",393482,260825,73503,71684,38139,27535,10604,17220,16325,1819,257,58897
27,17,2717,"大阪17区",395075,281617,57758,56669,36905,27310,9595,11674,8090,1089,187,55513
27,18,2718,"大阪18区",521767,365666,74361,72751,35913,0,0,26416,10422,1610,233,81507
27,19,2719,"大阪19区",362868,274195,54372,52913,23735,0,0,18564,10614,1459,182,34119
28,1,2801,"兵庫1区",497827,286692,106292,102109,54471,35435,19036,13506,34132,4183,246,104597
28,2,2802,"兵庫2区",457231,315852,75028,73277,46804,29803,15040,11290,15183,1751,202,66149
28,3,2803,"兵庫3区",374021,257868,61474,60519,40151,26423,13728,7875,12493,955,197,54482
28,4,2804,"兵庫4区",503012,385065,73005,68743,35266,13668,6159,20103,13374,4262,151,44791
28,5,2805,"兵庫5区",447800,361434,58992,56748,26829,0,0,15596,14323,2244,118,27256
28,6,2806,"兵庫6区",527080,364224,85289,83809,34214,0,0,21719,27876,1480,127,77440
