"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
43,1,4301,"熊本1区",244687,149283,64507,63511,35752,25683,10069,9175,18584,996,147,30750
43,2,4302,"熊本2区",177484,128185,37092,35764,21729,10247,5438,6314,7721,1328,62,12145
43,3,4303,"熊本3区",180733,134954,37117,36081,14926,0,0,13706,7449,1036,41,8621
43,4,4304,"熊本4区",219577,171558,39205,38453,21153,0,0,10435,6865,752,55,8759
44,1,4401,"大分1区",222946,150068,54211,53652,32908,0,0,6964,13780,559,83,18584
44,2,4402,"大分2区",142408,112986,24561,23958,13035,0,0,5496,5427,603,22,4839
44,3,4403,"大分3区",168060,119236,33167,31724,15656,0,0,7112,8956,1443,71,15586
45,1,4501,"宮崎1区",201218,130064,45126,44496,26292,0,0,6446,11758,630,65,25963
45,2,4502,"宮崎2区",151706,114358,30860,30370,16631,0,0,7683,6056,490,34,6454
45,3,4503,"宮崎3区",151839,112394,31744,31040,17555,0,0,6099,7386,704,31,7670
46,1,4601,"鹿児島1区",196289,124238,50109,49491,29372,0,0,8245,11874,618,64,21878
46,2,4602,"鹿児島2区",189040,134542,45540,45032,25364,0,0,10651,9017,508,39,8919
46,3,4603,"鹿児島3区",178403,134104,39548,38832,19079,0,0,11915,7838,716,63,4688
46,4,4604,"鹿児島4区",184574,132429,41640,41003,20612,0,0,11091,9300,637,96,10409
47,1,4701,"沖縄1区",160439,89472,35568,34590,17227,0,0,7314,10049,978,83,35316
47,2,4702,"沖縄2区",182439,103351,34487,33311,15039,0,0,12822,5450,1176,133,44468
47,3,4703,"沖縄3区",196962,114339,39517,38391,20252,0,0,11852,6287,1126,155,42951
47,4,4704,"沖縄4区",182972,114043,42078,41227,16126,0,0,16165,8936,851,98,26753
