"ken","kuno","kucode","kuname","人口_総数","人口_男","人口_女","外国人人口","世帯数"
27,10,2710,"大阪10区",383625,182685,200940,3246,165616
27,11,2711,"大阪11区",472322,223996,248326,3589,201822
27,12,2712,"大阪12区",404277,195490,208787,5635,176639
27,13,2713,"大阪13区",493940,240288,253652,13235,232303
27,14,2714,"大阪14区",505841,239798,266043,10019,217096
27,15,2715,"大阪15区",457686,216634,241052,4605,192413
27,16,2716,"大阪16区",393482,189070,204412,6694,183195
27,17,2717,"大阪17区",395075,186783,208292,5240,168039
27,18,2718,"大阪18区",521767,248700,273067,6759,215169
27,19,2719,"大阪19区",362868,173580,189288,3971,148308
28,1,2801,"兵庫1区",497827,231205,266622,15478,263344
28,2,2802,"兵庫2区",457231,217291,239940,10955,215770
28,3,2803,"兵庫3区",374021,173324,200697,4764,172032
28,4,2804,"兵庫4区",503012,243270,259742,8689,203492
28,5,2805,"兵庫5区",447800,213649,234151,4165,172486
28,6,2806,"兵庫6区",527080,247254,279826,6294,221633
28,7,2807,"兵庫7区",536705,247850,288855,7086,241679
28,8,2808,"兵庫8区",459593,222293,237300,8420,221404
28,9,2809,"兵庫9区",430941,207367,223574,4297,185980
28,10,2810,"兵庫10区",412472,200959,211513,4471,169083
28,11,2811,"兵庫11区",486958,235612,251346,9591,207238
28,12,2812,"兵庫12区",331362,159682,171680,3070,128343
29,1,2901,"奈良1区",466384,217565,248819,4102,201136
29,2,2902,"奈良2区",451842,214387,237455,3806,178084
29,3,2903,"奈良3区",406247,191974,214273,3597,165761
30,1,3001,"和歌山1区",469512,221731,247781,3825,203016
30,2,3002,"和歌山2区",453072,213320,239752,2204,191467
31,1,3101,"鳥取1区",277037,133220,143817,1913,110402
31,2,3102,"鳥取2区",276370,131212,145158,2397,109340
32,1,3201,"島根1区",312233,150862,161371,2060,125780
32,2,3202,"島根2区",358893,173429,185464,6170,144112
33,1,3301,"岡山1区",414013,201191,212822,7814,194827
33,2,3302,"岡山2区",502747,239908,262839,6572,210455
33,3,3303,"岡山3区",484712,232755,251957,6302,192523
33,4,3304,"岡山4区",486960,234191,252769,4428,203604
34,1,3401,"広島1区",501230,241655,259575,9227,246602
34,2,3402,"広島2区",470287,225989,244298,6136,212129
34,3,3403,"広島3区",513053,248620,264433,6552,216867
34,4,3404,"広島4区",487115,240586,246529,10806,218323
34,5,3405,"広島5区",367087,176060,191027,6781,156235
34,6,3406,"広島6区",460930,224246,236684,8231,193371
35,1,3501,"山口1区",470515,225096,245419,4404,208547
35,2,3502,"山口2区",452720,216448,236272,4417,203017
35,3,3503,"山口3区",418824,195192,223632,5557,187260
36,1,3601,"徳島1区",421455,201388,220067,2626,188590
36,2,3602,"徳島2区",298104,141877,156227,2407,119620
37,1,3701,"香川1区",371090,179606,191484,3108,170223
37,2,3702,"香川2区",297585,142973,154612,3213,122072
37,3,3703,"香川3区",281569,136618,144951,4533,114690
38,1,3801,"愛媛1区",511192,240292,270900,2672,241234
38,2,3802,"愛媛2区",461664,222307,239357,6573,203776
38,3,3803,"愛媛3区",361985,170463,191522,1914,156392
39,1,3901,"高知1区",364016,171178,192838,2191,167778
39,2,3902,"高知2区",327511,155353,172158,2029,147494
40,1,4001,"福岡1区",541619,262506,279113,15992,296878
40,2,4002,"福岡2区",558742,256253,302489,10026,301904
40,3,4003,"福岡3区",548397,259685,288712,6257,243218
40,4,4004,"福岡4区",489902,235270,254632,5226,197229
40,5,4005,"福岡5区",551051,262502,288549,3982,224678
40,6,4006,"福岡6区",452986,214902,238084,4659,184919
40,7,4007,"福岡7区",341021,159814,181207,2657,134939
40,8,4008,"福岡8区",411207,193794,217413,4087,174576
40,9,4009,"福岡9区",452752,214545,238207,5087,205737
40,10,4010,"福岡10区",486277,228724,257553,5728,230508
40,11,4011,"福岡11区",301260,142956,158304,2998,128739
41,1,4101,"佐賀1区",406889,193392,213497,3361,163862
41,2,4102,"佐賀2区",404553,191059,213494,2579,148818
42,1,4201,"長崎1区",409118,188519,220599,2601,187423
42,2,4202,"長崎2区",479582,227334,252248,2863,190386
42,3,4203,"長崎3区",423617,201059,222558,2852,180421
43,1,4301,"熊本1区",516859,244687,272172,4082,237172
43,2,4302,"熊本2区",375868,177484,198384,3289,150976
43,3,4303,"熊本3区",376435,180733,195702,3207,144898
43,4,4304,"熊本4区",469139,219577,249562,4013,186108
44,1,4401,"大分1区",463837,222946,240891,2637,204253
44,2,4402,"大分2区",303269,142408,160861,2046,125676
44,3,4403,"大分3区",356746,168060,188686,5485,159320
45,1,4501,"宮崎1区",426671,201218,225453,2256,194588
45,2,4502,"宮崎2区",319057,151706,167351,1555,133901
45,3,4503,"宮崎3区",323848,151839,172009,2663,141566
46,1,4601,"鹿児島1区",424890,196289,228601,1850,207657
46,2,4602,"鹿児島2区",398675,189040,209635,2334,177755
46,3,4603,"鹿児島3区",378178,178403,199775,2904,165355
46,4,4604,"鹿児島4区",386513,184574,201939,2949,177412
47,1,4701,"沖縄1区",329331,160439,168892,4671,150191
47,2,4702,"沖縄2区",373853,182439,191414,5546,153102
47,3,4703,"沖縄3区",396314,196962,199352,5065,164773
47,4,4704,"沖縄4区",367982,182972,185010,2875,146642
