"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
28,8,2808,"兵庫8区",107250,44935,6495,38440,58492,0,19647,37235,1610,3823
28,9,2809,"兵庫9区",111254,53403,11890,41513,54658,0,46268,7225,1165,3193
28,10,2810,"兵庫10区",112067,43659,5860,37799,65255,0,59070,4960,1225,3153
28,11,2811,"兵庫11区",136592,100490,8300,92190,34773,0,29685,4426,662,1329
28,12,2812,"兵庫12区",92299,47582,8259,39323,43531,0,39815,3046,670,1186
29,1,2901,"奈良1区",116742,43606,8395,35211,70798,0,18268,51333,1197,2338
29,2,2902,"奈良2区",120148,35513,10073,25440,82035,0,41627,38596,1812,2600
29,3,2903,"奈良3区",107038,38797,11994,26803,65768,0,41056,23160,1552,2473
30,1,3001,"和歌山1区",124054,85408,11542,73866,34916,0,22034,11961,921,3730
30,2,3002,"和歌山2区",125592,75263,22393,52870,48207,0,37324,10018,865,2122
31,1,3101,"鳥取1区",77135,61309,8145,53164,13735,0,12071,1302,362,2091
31,2,3102,"鳥取2区",77421,48276,9044,39232,27771,0,21939,5377,455,1374
32,1,3201,"島根1区",89974,71790,9583,62207,16533,0,12207,3965,361,1651
32,2,3202,"島根2区",104010,85527,11243,74284,16320,0,14485,1467,368,2163
33,1,3301,"岡山1区",113486,74972,10188,64784,36671,9654,23810,2690,517,1843
33,2,3302,"岡山2区",135008,63238,11171,52067,68433,35281,29639,2645,868,3337
33,3,3303,"岡山3区",136496,82332,17608,64724,51098,0,42312,7735,1051,3066
33,4,3304,"岡山4区",126740,89701,8528,81173,32676,0,28877,2990,809,4363
34,1,3401,"広島1区",137979,60284,8432,51852,73905,40670,30176,1854,1205,3790
34,2,3402,"広島2区",130632,54110,8482,45628,72896,39379,27991,4334,1192,3626
34,3,3403,"広島3区",144745,63103,10505,52598,77514,52616,21610,1948,1340,4128
34,4,3404,"広島4区",142429,102382,10227,92155,36895,0,34903,1105,887,3152
34,5,3405,"広島5区",103748,76719,12910,63809,25187,0,23014,1676,497,1842
34,6,3406,"広島6区",125307,100614,8673,91941,19763,0,11714,7395,654,4930
35,1,3501,"山口1区",131334,99337,9608,89729,30365,0,28239,1734,392,1632
35,2,3502,"山口2区",120167,79777,9830,69947,38300,0,32106,5731,463,2090
35,3,3503,"山口3区",112412,87836,11055,76781,22504,0,16302,5822,380,2072
36,1,3601,"徳島1区",111999,76818,13993,62825,32350,0,29849,1735,766,2831
36,2,3602,"徳島2区",78105,38077,11883,26194,38530,0,34209,3593,728,1498
37,1,3701,"香川1区",100909,84127,8209,75918,14365,0,11959,2072,334,2417
37,2,3702,"香川2区",80938,44327,8966,35361,35051,0,32714,1756,581,1560
37,3,3703,"香川3区",78752,41246,9133,32113,35706,0,32607,2446,653,1800
38,1,3801,"愛媛1区",122834,103040,10284,92756,15921,0,14171,1320,430,3873
38,2,3802,"愛媛2区",127239,105339,13250,92089,19473,0,16352,2708,413,2427
38,3,3803,"愛媛3区",98767,66536,18801,47735,30538,0,28752,1133,653,1693
