"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
28,7,2807,"兵庫7区",84224,29810,15511,15844,1930,20083,1034,12,28867,6250,7448,1633,13536,0
28,8,2808,"兵庫8区",48547,18246,9311,9873,1943,8730,425,19,21275,3354,5570,1616,10735,0
28,9,2809,"兵庫9区",54660,22198,11120,11089,2096,7771,369,17,24091,3057,7426,2399,11208,1
28,10,2810,"兵庫10区",56346,22580,11603,11717,2054,8087,292,13,20727,2150,5218,4385,8974,0
28,11,2811,"兵庫11区",67335,27056,13860,14154,2858,8942,456,9,26357,2336,7112,5623,11286,0
28,12,2812,"兵庫12区",42313,16891,9054,9655,1569,4911,229,4,14411,1751,3525,3964,5171,0
29,1,2901,"奈良1区",67671,23589,12597,12649,1930,15357,1541,8,21408,3449,5547,3371,9041,0
29,2,2902,"奈良2区",66283,23701,12659,14352,2784,12272,509,6,22033,3974,6623,2431,9005,0
29,3,2903,"奈良3区",49751,18234,10002,10492,2260,8344,410,9,16724,2441,5860,1383,7040,0
30,1,3001,"和歌山1区",59357,23533,12033,12772,2357,8188,447,27,22853,3331,6222,3462,9838,0
30,2,3002,"和歌山2区",51054,21107,11463,12231,2493,3589,166,5,18832,1580,7288,3376,6588,0
31,1,3101,"鳥取1区",36795,14157,7540,7937,1399,5207,547,8,13740,973,6889,1640,4238,0
31,2,3102,"鳥取2区",33172,14272,7327,7468,1824,2070,203,8,14230,1179,6451,2478,4118,4
32,1,3201,"島根1区",39974,15937,8244,8578,2192,4620,399,4,15402,1124,8322,1847,4109,0
32,2,3202,"島根2区",43021,18237,9375,10546,1620,3029,207,7,17989,1314,10923,1455,4297,0
33,1,3301,"岡山1区",60764,20212,10252,11138,2883,14408,1865,6,20446,2467,6833,3323,7823,0
33,2,3302,"岡山2区",66898,26699,13861,14565,2661,8740,352,20,26210,2791,9204,3673,10542,0
33,3,3303,"岡山3区",59071,23471,12752,13433,2540,6614,249,12,21816,2002,9099,3592,7123,0
33,4,3304,"岡山4区",61800,25055,12689,12961,2394,8341,345,15,24909,3971,9249,2199,9490,0
34,1,3401,"広島1区",64209,25592,12780,12698,2502,9703,892,42,27213,4933,9576,2108,10596,0
34,2,3402,"広島2区",62860,25275,12458,12653,2305,9699,392,78,25427,4244,10373,1263,9547,0
34,3,3403,"広島3区",76919,30350,15437,15775,2336,12697,314,10,27678,4480,9332,2931,10935,0
34,4,3404,"広島4区",69184,24320,12498,12358,3022,14695,2278,13,22757,3071,7266,3877,8543,0
34,5,3405,"広島5区",42406,17578,9196,9732,1427,4315,148,10,15764,1887,5645,2783,5449,0
34,6,3406,"広島6区",61073,25585,12791,12917,2295,7290,183,12,24982,2737,7530,4619,10096,0
35,1,3501,"山口1区",63917,24306,12265,12590,2750,10877,1124,5,23254,4597,8872,1694,8091,0
35,2,3502,"山口2区",50470,21894,11622,11590,2787,2483,87,7,20201,3453,7325,1566,7857,0
35,3,3503,"山口3区",48007,19357,10288,10279,1992,5934,146,11,17024,2215,6916,2232,5661,0
36,1,3601,"徳島1区",49983,18372,9577,10026,2251,8696,1056,5,17997,2214,6978,3176,5629,0
36,2,3602,"徳島2区",33946,14057,7465,7851,1148,3021,401,3,13236,2342,3911,2460,4523,0
37,1,3701,"香川1区",47325,19243,9700,9920,1927,6073,448,14,18894,3215,6371,2671,6636,1
37,2,3702,"香川2区",36026,14318,7820,8352,1675,3646,206,9,12818,1491,4364,2958,4005,0
37,3,3703,"香川3区",34375,14523,7392,7955,1913,2492,94,6,13609,2790,4530,1688,4601,0
38,1,3801,"愛媛1区",68895,25790,13366,14199,2862,11912,757,9,24916,5236,5608,3132,10940,0
38,2,3802,"愛媛2区",51554,22968,11835,11516,3024,2119,84,8,20602,2890,7722,2584,7406,0
38,3,3803,"愛媛3区",39788,16903,9123,9744,1115,2772,121,10,14725,1647,6544,1848,4686,0
39,1,3901,"高知1区",44669,17197,9000,9377,2552,6014,520,9,16777,1533,8235,1349,5660,0
39,2,3902,"高知2区",36712,14283,7923,8710,1533,3996,219,48,13215,653,7255,997,4310,0
40,1,4001,"福岡1区",70160,24764,11776,11713,7185,13635,1068,19,29739,4692,12268,239,12540,0
40,2,4002,"福岡2区",74312,27610,12738,12745,5092,15011,1102,14,29543,5719,11462,212,12150,0
40,3,4003,"福岡3区",89805,32876,16110,15717,3399,18566,3120,17,32126,5818,13512,652,12144,0
40,4,4004,"福岡4区",73652,32064,15140,14148,2717,9217,352,14,31748,6254,10498,1961,13035,0
40,5,4005,"福岡5区",83947,34035,16806,16549,3470,12354,657,76,32559,5763,11476,845,14475,0
40,6,4006,"福岡6区",60333,23862,11883,11700,3419,9109,341,19,23647,3391,11193,1634,7429,0
40,7,4007,"福岡7区",42235,17259,8814,9282,2637,4091,140,12,16302,1588,7882,1502,5330,0
40,8,4008,"福岡8区",51754,21375,10700,10864,2413,5951,443,8,20660,3108,7819,1758,7975,0
40,9,4009,"福岡9区",59247,22704,11699,11842,2444,9233,1307,18,21901,5246,7546,716,8393,0
