"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
33,1,3301,"岡山1区",211041,146917,18244,128673,60735,16266,39872,3765,832,3389
33,2,3302,"岡山2区",252827,128408,20081,108327,118467,66537,47172,3359,1399,5952
33,3,3303,"岡山3区",253306,161675,30756,130919,86049,0,72447,11952,1650,5582
33,4,3304,"岡山4区",235574,174101,16051,158050,53500,0,48274,3957,1269,7973
34,1,3401,"広島1区",257549,124325,15693,108632,126204,73232,48670,2329,1973,7020
34,2,3402,"広島2区",243425,113647,15683,97964,123023,70139,44911,5966,2007,6755
34,3,3403,"広島3区",265491,133453,18987,114466,124680,88747,31571,2283,2079,7358
34,4,3404,"広島4区",253127,190931,18933,171998,56390,0,53710,1353,1327,5806
34,5,3405,"広島5区",189892,145997,23077,122920,40414,0,37351,2301,762,3481
34,6,3406,"広島6区",230433,190855,16359,174496,30774,0,18093,11645,1036,8804
35,1,3501,"山口1区",243300,193508,17307,176201,46764,0,43787,2330,647,3028
35,2,3502,"山口2区",218370,151554,17699,133855,63069,0,53614,8685,770,3747
35,3,3503,"山口3区",212788,174060,19857,154203,34892,0,25602,8691,599,3836
36,1,3601,"徳島1区",210267,151035,25099,125936,53951,0,50368,2345,1238,5281
36,2,3602,"徳島2区",148049,76406,21061,55345,68843,0,63125,4537,1181,2800
37,1,3701,"香川1区",186911,160357,14761,145596,22023,0,18573,2913,537,4531
37,2,3702,"香川2区",151104,87568,15433,72135,60718,0,57139,2618,961,2818
37,3,3703,"香川3区",144849,80394,16206,64188,61188,0,56819,3338,1031,3267
38,1,3801,"愛媛1区",235261,203443,18591,184852,24400,0,22110,1620,670,7418
38,2,3802,"愛媛2区",230785,197329,23733,173596,29026,0,24526,3850,650,4430
38,3,3803,"愛媛3区",186277,131184,32822,98362,52014,0,49465,1478,1071,3079
39,1,3901,"高知1区",179010,128278,21416,106862,46071,0,43702,1388,981,4661
39,2,3902,"高知2区",156476,115478,21261,94217,37010,0,34583,1611,816,3988
40,1,4001,"福岡1区",265946,149849,15793,134056,107903,67267,35623,3063,1950,8194
40,2,4002,"福岡2区",271250,125032,19865,105167,139251,113139,20581,3639,1892,6967
40,3,4003,"福岡3区",271942,125972,22136,103836,138349,95694,35908,4327,2420,7621
40,4,4004,"福岡4区",238309,89910,16243,73667,142537,3285,134536,2259,2457,5862
40,5,4005,"福岡5区",261758,93957,21051,72906,159380,4216,143176,8585,3403,8421
40,6,4006,"福岡6区",230229,135500,24493,111007,89887,0,67881,20046,1960,4842
40,7,4007,"福岡7区",169295,100306,23413,76893,64707,0,53155,10126,1426,4282
40,8,4008,"福岡8区",190101,91681,14020,77661,94671,0,91871,1230,1570,3749
40,9,4009,"福岡9区",212969,112984,12866,100118,94537,65006,26199,1925,1407,5448
40,10,4010,"福岡10区",225660,133131,13367,119764,84470,62716,15721,4599,1434,8059
40,11,4011,"福岡11区",140820,67660,11215,56445,70526,0,63664,5802,1060,2634
41,1,4101,"佐賀1区",215134,139515,19689,119826,70937,0,42819,26643,1475,4682
41,2,4102,"佐賀2区",221986,142640,31674,110966,76571,0,63874,11167,1530,2775
42,1,4201,"長崎1区",203210,176230,13080,163150,21886,0,19421,1759,706,5094
42,2,4202,"長崎2区",252224,180162,33557,146605,67948,0,64299,2597,1052,4114
42,3,4203,"長崎3区",217723,179179,23208,155971,35483,0,27709,6912,862,3061
43,1,4301,"熊本1区",265724,148880,19772,129108,108103,64004,38859,3339,1901,8741
43,2,4302,"熊本2区",192473,100850,22655,78195,86718,36545,36573,12297,1303,4905
43,3,4303,"熊本3区",200542,108423,30310,78113,90650,0,87712,2176,762,1469
43,4,4304,"熊本4区",236685,174160,38683,135477,60566,0,56749,3106,711,1959
44,1,4401,"大分1区",237962,213159,13619,199540,20916,0,18476,1932,508,3887
