"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
12,13,1213,"千葉13区",88951,67165,56904,31648,15084,10261,529,21257,0,6829,30184,21257
12,14,1214,"千葉14区",82525,58392,51225,27481,13170,7167,407,23726,0,4641,26341,23726
13,1,1301,"東京1区",53632,28450,25402,13585,5975,3048,292,24890,0,1468,12546,24890
13,2,1302,"東京2区",51452,27040,23510,12207,5501,3530,457,23955,0,1782,11206,23955
13,3,1303,"東京3区",62496,35877,31752,16500,7666,4125,510,26109,0,2177,15459,26109
13,4,1304,"東京4区",78351,47157,40698,19623,10776,6459,590,30604,0,3532,18354,30604
13,5,1305,"東京5区",63431,37636,34033,18410,8543,3603,242,25553,0,1906,17355,25553
13,6,1306,"東京6区",69327,40705,36614,19814,9124,4091,249,28373,0,2245,18697,28373
13,7,1307,"東京7区",60079,33083,29363,16065,6662,3720,690,26306,0,1939,14754,26306
13,8,1308,"東京8区",65227,39007,35203,19149,8747,3804,264,25956,0,2039,18052,25956
13,9,1309,"東京9区",55365,35804,31496,16307,8044,4308,295,19266,0,2571,15500,19266
13,10,1310,"東京10区",72916,39695,35123,17956,8918,4572,437,32784,0,2370,16741,32784
13,11,1311,"東京11区",71014,41727,36635,18405,9207,5092,608,28679,0,2771,17216,28679
13,12,1312,"東京12区",83555,45908,40419,20221,9671,5489,567,37080,0,2779,19001,37080
13,13,1313,"東京13区",79598,47449,41148,19927,10429,6301,916,31233,0,3536,18676,31233
13,14,1314,"東京14区",78261,45826,39419,18944,10245,6407,626,31809,0,3519,17634,31809
13,15,1315,"東京15区",78972,46835,42163,21858,10014,4672,451,31686,0,2398,20337,31686
13,16,1316,"東京16区",65479,42484,36629,17474,10039,5855,698,22297,0,3856,16472,22297
13,17,1317,"東京17区",77878,47822,40521,19037,10665,7301,991,29065,0,4159,17860,29065
13,18,1318,"東京18区",71668,45759,40909,22192,10194,4850,437,25472,0,2725,21071,25472
13,19,1319,"東京19区",59869,39604,35128,18908,9024,4476,366,19899,0,2590,17919,19899
13,20,1320,"東京20区",90527,59345,52650,28180,13139,6695,599,30583,0,4205,26768,30583
13,21,1321,"東京21区",77044,50544,45515,25177,11637,5029,300,26200,0,3022,23970,26200
13,22,1322,"東京22区",75170,46889,42135,22655,10384,4754,1096,27185,0,2741,21507,27185
13,23,1323,"東京23区",74381,50845,45360,25925,11287,5485,258,23278,0,3432,24841,23278
13,24,1324,"東京24区",82472,56300,49110,26646,12722,7190,616,25556,0,4480,25503,25556
13,25,1325,"東京25区",90758,62171,53897,29006,14081,8274,654,27933,0,5293,27545,27933
13,26,1326,"東京26区",73086,44966,39050,20157,10056,5916,697,27423,0,3247,18989,27423
13,27,1327,"東京27区",63050,35577,31481,16096,7753,4096,401,27072,0,2074,15095,27072
13,28,1328,"東京28区",53038,32833,28921,14777,7477,3912,394,19811,0,2276,13877,19811
13,29,1329,"東京29区",74751,44640,38269,18265,10037,6371,679,29432,0,3590,17033,29432
13,30,1330,"東京30区",78636,52347,47080,25886,11823,5267,370,25919,0,3172,24616,25919
14,1,1401,"神奈川1区",90486,59289,52982,29367,13108,6307,539,30658,0,3569,27803,30658
