"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
22,3,2203,"静岡3区",30740,13485,6984,6869,693,2611,95,3,12855,2313,3802,2111,4629,0
22,4,2204,"静岡4区",23837,9179,5066,5402,658,3394,131,7,8250,1271,2091,2041,2847,0
22,5,2205,"静岡5区",34167,14418,7459,7863,964,3305,154,4,13371,2582,4341,1262,5186,0
22,6,2206,"静岡6区",26903,10900,6030,6411,1101,2343,115,3,9544,1653,2854,1196,3841,0
22,7,2207,"静岡7区",25514,11167,5800,5862,596,1961,128,0,9857,2494,2651,1475,3237,0
22,8,2208,"静岡8区",31672,12373,6346,6687,772,4696,796,2,12607,3041,3123,2080,4363,0
23,1,2301,"愛知1区",25780,9790,4822,4734,872,5031,493,38,11516,2127,3415,575,5399,0
23,2,2302,"愛知2区",37140,14231,6747,6491,737,7596,1332,6,14472,3268,4373,711,6120,0
23,3,2303,"愛知3区",41344,14732,7171,7076,793,9813,1757,2,15804,3190,5116,699,6799,0
23,4,2304,"愛知4区",26901,10226,5200,5256,984,4865,365,5,10666,1685,3392,931,4658,0
23,5,2305,"愛知5区",24924,9564,4744,4816,1170,4354,268,8,10698,1729,3481,674,4814,0
23,6,2306,"愛知6区",31883,12091,6371,6370,659,6057,328,7,11685,2491,3882,288,5024,0
23,7,2307,"愛知7区",34591,13473,6665,6509,734,6780,428,2,13786,2791,4943,433,5619,0
23,8,2308,"愛知8区",38653,15795,7935,7794,879,5976,262,12,15052,1753,5906,828,6564,1
23,9,2309,"愛知9区",32450,12502,6501,6928,826,5388,298,7,11628,1848,4284,1004,4492,0
23,10,2310,"愛知10区",29754,11696,6246,6185,755,4585,279,8,11283,1882,3959,245,5197,0
23,11,2311,"愛知11区",35833,13908,7310,7770,1072,5489,280,4,13632,2172,2060,3053,6347,0
23,12,2312,"愛知12区",39329,16804,8321,8248,982,4667,300,7,16342,2842,5958,339,7202,1
23,13,2313,"愛知13区",37895,15784,7951,8007,758,5009,381,5,16527,2804,5122,821,7780,0
23,14,2314,"愛知14区",24679,10150,5454,5612,605,2735,119,4,9715,1083,3925,791,3916,0
