"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
24,4,2404,"三重4区",139750,7035,4449,1118,957,115309,79,2624,6958,2318,3807
25,1,2501,"滋賀1区",159845,10974,47556,10155,1403,82012,206,6249,16220,2324,3997
25,2,2502,"滋賀2区",239747,10269,18599,3269,2988,189581,207,2621,18308,2596,5862
25,3,2503,"滋賀3区",212545,10609,34836,8074,2568,137123,175,5948,27933,2552,5023
26,1,2601,"京都1区",181116,21035,49446,31630,1580,28947,1069,14040,52220,2317,6303
26,2,2602,"京都2区",114865,10617,35731,17400,981,26207,683,10286,26429,1679,4218
26,3,2603,"京都3区",163644,11126,62858,10180,1410,43672,325,18064,32952,2273,4593
26,4,2604,"京都4区",179614,10631,48209,20653,1191,66070,371,16065,34726,2472,5401
26,5,2605,"京都5区",117589,8840,1708,1031,1258,93103,84,1861,8433,1624,3027
26,6,2606,"京都6区",215973,11891,65352,15482,2120,96262,261,19492,26800,2828,5780
27,1,2701,"大阪1区",189515,24823,97718,6242,1192,15424,1185,2570,50007,2222,7827
27,2,2702,"大阪2区",189466,10844,82210,5637,1228,27643,354,5661,68141,2457,7465
27,3,2703,"大阪3区",146246,8553,64668,8587,1580,20727,224,3781,47598,2016,6598
27,4,2704,"大阪4区",188868,19507,99284,9082,1147,16046,968,3306,53966,2067,6710
27,5,2705,"大阪5区",196733,15438,98105,8458,1561,21845,430,6668,58784,2360,7596
27,6,2706,"大阪6区",177775,9798,69887,6295,1131,28724,225,8377,65922,2497,6936
27,7,2707,"大阪7区",193410,14290,95380,12357,1490,31314,398,12048,47471,2690,5579
27,8,2708,"大阪8区",202736,14822,95384,20181,1656,36987,560,13207,46221,2929,5644
27,9,2709,"大阪9区",179159,10561,70870,18996,1872,44344,323,14589,46019,2608,3853
27,10,2710,"大阪10区",151133,7827,64051,21349,1757,30630,265,14509,42455,1810,4195
27,11,2711,"大阪11区",181726,9420,72580,20373,1317,47899,189,20135,34963,2365,4801
27,12,2712,"大阪12区",159346,8301,56589,8950,1299,36393,187,15183,49150,2209,5342
27,13,2713,"大阪13区",176764,10163,59299,3648,1139,34912,189,13972,63873,2444,6834
27,14,2714,"大阪14区",201041,9894,66855,5614,1631,54825,195,15920,62169,2734,5851
27,15,2715,"大阪15区",175569,7934,54687,11888,1482,72291,182,13886,32074,2509,5246
27,16,2716,"大阪16区",157567,8875,64076,7363,1936,38159,220,5491,43942,2168,5097
27,17,2717,"大阪17区",151185,7031,48830,11224,1756,56498,189,9843,32461,2302,4941
27,18,2718,"大阪18区",203256,8713,59848,8182,2394,85503,281,12156,42756,2969,6208
27,19,2719,"大阪19区",145090,5910,40870,4224,2278,73286,248,9272,20447,2079,4222
28,1,2801,"兵庫1区",192902,22969,106818,18837,3559,27684,880,7594,23172,2467,5774
28,2,2802,"兵庫2区",178992,15134,71366,21885,2238,60624,384,9735,16441,2554,5922
28,3,2803,"兵庫3区",141230,9099,70821,29400,1756,39469,260,9715,8917,1877,3892
28,4,2804,"兵庫4区",208768,9968,36793,16250,2054,136449,149,7501,14083,2282,5228
28,5,2805,"兵庫5区",187309,10077,30021,13666,1679,130925,176,4563,9930,2253,3087
28,6,2806,"兵庫6区",204615,14400,85935,23398,1685,47367,357,16765,43727,2757,5666
28,7,2807,"兵庫7区",211455,12043,110511,19289,2435,37867,812,9344,49422,2579,5670
28,8,2808,"兵庫8区",173883,10253,69891,14107,1654,28564,306,9805,60438,2382,5355
28,9,2809,"兵庫9区",167419,9861,49324,10856,2067,80478,149,7187,21586,2302,4824
28,10,2810,"兵庫10区",173805,6423,35316,4424,2746,97639,110,7384,33258,2025,4628
28,11,2811,"兵庫11区",210914,10306,29665,9332,1892,132106,342,6820,34075,2416,3788
28,12,2812,"兵庫12区",140236,5814,9307,1527,940,111649,68,3938,10470,1683,2188
29,1,2901,"奈良1区",180672,10746,76719,25072,1403,69258,253,7729,18316,2239,3669
