"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_うち住宅に住む一般世帯","一般世帯数_うち主世帯","一般世帯数_一戸建","一般世帯数_長屋建","一般世帯数_共同住宅","一般世帯数_共同住宅（1・2階建）","一般世帯数_共同住宅（3～5階建）","一般世帯数_共同住宅（6～10階建）","一般世帯数_共同住宅（11階建以上）","一般世帯数_その他"
35,1,3501,"山口1区",207999,205166,202641,129251,3433,69795,36726,20634,7340,5095,162
35,2,3502,"山口2区",202591,198820,196161,138986,3309,53641,24475,17166,7111,4889,225
35,3,3503,"山口3区",186719,183773,181509,122495,4768,54057,19171,20858,9069,4959,189
36,1,3601,"徳島1区",188104,185809,183801,117769,3395,62421,18187,29578,10053,4603,216
36,2,3602,"徳島2区",119254,117583,116441,92920,2735,20670,10803,8128,1432,307,116
37,1,3701,"香川1区",169879,168226,166440,91782,2951,71504,21520,25073,16212,8699,203
37,2,3702,"香川2区",121765,120045,118804,95104,1888,21698,10468,6190,3462,1578,114
37,3,3703,"香川3区",114418,111333,110179,84145,2159,23728,13318,6609,2917,884,147
38,1,3801,"愛媛1区",240734,239019,236459,129111,2489,104677,23222,40285,28096,13074,182
38,2,3802,"愛媛2区",203321,197564,195062,146473,4466,43902,19678,16227,6276,1721,221
38,3,3803,"愛媛3区",155886,153538,151787,122250,4280,25102,9505,12344,2868,385,155
39,1,3901,"高知1区",167345,165857,163610,103755,3472,56177,14826,25345,10453,5553,206
39,2,3902,"高知2区",146985,145547,143593,107094,2857,33444,9910,17811,3927,1796,198
40,1,4001,"福岡1区",296506,293299,289616,44087,1404,243876,35306,49440,80610,78520,249
40,2,4002,"福岡2区",301554,299004,295953,49735,1763,244241,28852,67684,89760,57945,214
40,3,4003,"福岡3区",242851,240885,238217,88024,1858,148202,26419,57331,45891,18561,133
40,4,4004,"福岡4区",196849,194194,191957,112470,2285,77064,27894,22451,17425,9294,138
40,5,4005,"福岡5区",224310,221893,219578,113314,2596,103481,33349,33266,27198,9668,187
40,6,4006,"福岡6区",184409,182557,179643,104965,2125,72385,23535,24271,14214,10365,168
40,7,4007,"福岡7区",134493,132725,131293,95688,2438,33050,16110,10831,3680,2429,117
40,8,4008,"福岡8区",173935,171730,169661,115545,10640,43344,19408,16388,6030,1518,132
40,9,4009,"福岡9区",205308,201778,199428,96402,3345,99508,17144,37723,26811,17830,173
40,10,4010,"福岡10区",230056,227328,225100,88367,2664,133860,20079,42229,38153,33399,209
40,11,4011,"福岡11区",128208,125521,123993,86330,7191,30362,12203,12943,3830,1386,110
41,1,4101,"佐賀1区",163250,161000,159414,99706,2366,57185,27636,17002,7605,4942,157
41,2,4102,"佐賀2区",147923,144818,143534,112791,3210,27364,16770,8131,1869,594,169
42,1,4201,"長崎1区",186988,184640,182176,95696,1975,84264,19198,31101,20142,13823,241
42,2,4202,"長崎2区",189528,186898,185049,136477,4103,44203,23376,15180,3655,1992,266
42,3,4203,"長崎3区",179614,175851,173939,122396,4452,46834,18687,18423,5760,3964,257
43,1,4301,"熊本1区",236652,234447,232298,97559,1925,132505,30214,51277,32196,18818,309
43,2,4302,"熊本2区",150507,148549,146832,97601,2546,46584,18667,16885,7003,4029,101
43,3,4303,"熊本3区",144323,141725,139856,104945,4680,30091,17234,9851,2785,221,140
43,4,4304,"熊本4区",185258,181725,179742,143002,6008,30501,17703,11305,767,726,231
44,1,4401,"大分1区",203802,201251,199367,100088,1924,97177,24054,37122,22292,13709,178
44,2,4402,"大分2区",125172,123120,122041,97828,2138,21935,11632,8787,1197,319,140
44,3,4403,"大分3区",158705,156357,154002,100942,3533,49374,20138,17823,6647,4766,153
45,1,4501,"宮崎1区",194083,192076,189699,106091,1258,82177,19833,38643,17012,6689,173
45,2,4502,"宮崎2区",133447,131719,130320,98398,2450,29368,12473,14308,2066,521,104
45,3,4503,"宮崎3区",141045,138984,137043,110733,2759,23442,11990,9619,1594,239,109
46,1,4601,"鹿児島1区",207153,205186,202606,94263,1062,107057,14951,48108,27252,16746,224
46,2,4602,"鹿児島2区",177134,174546,172458,124824,3022,44377,16605,23370,3829,573,235
46,3,4603,"鹿児島3区",164751,161315,159442,127738,3233,28316,15463,11717,801,335,155
46,4,4604,"鹿児島4区",176817,173301,171544,133477,3151,34755,15736,16367,1868,784,161
47,1,4701,"沖縄1区",149836,148455,145392,35414,891,108798,7824,63910,26992,10072,289
47,2,4702,"沖縄2区",152820,151946,149093,56199,868,91843,11167,60512,16110,4054,183
47,3,4703,"沖縄3区",164359,162723,159189,80978,1466,76526,15304,49694,10446,1082,219
47,4,4704,"沖縄4区",146279,144281,141802,68977,1198,71378,9135,51355,9235,1653,249
