"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
42,2,4202,"長崎2区",218667,17953,10374,12488,4181,158164,291,6000,9929,4040,4574
42,3,4203,"長崎3区",194515,23320,6157,14662,2672,133775,600,6758,5778,5047,3661
43,1,4301,"熊本1区",245952,23001,13218,18524,1391,138200,856,13260,44281,3887,7593
43,2,4302,"熊本2区",169818,8076,9073,7410,1458,120326,302,7301,19746,2455,4502
43,3,4303,"熊本3区",170232,7539,6441,3980,1435,136431,151,5953,11712,2154,2158
43,4,4304,"熊本4区",198002,10405,7053,2687,1786,155848,267,4298,18232,3502,2745
44,1,4401,"大分1区",224343,16073,10066,10535,1544,154216,398,7513,29830,2861,4101
44,2,4402,"大分2区",130314,9069,4436,1241,1369,102422,178,2904,9943,1934,1672
44,3,4403,"大分3区",156093,12739,6926,4687,1880,115686,250,3813,10962,2147,3582
45,1,4501,"宮崎1区",191529,11406,3442,7740,1273,137152,444,5798,25950,2548,4989
45,2,4502,"宮崎2区",142596,8409,2950,1533,1581,111724,242,3166,13390,1839,2348
45,3,4503,"宮崎3区",140890,7367,2362,840,1577,115370,182,1965,10391,2010,1992
46,1,4601,"鹿児島1区",199319,23208,12202,23725,3119,106795,684,12688,23004,4120,5094
46,2,4602,"鹿児島2区",181051,14385,9111,5396,3174,130085,248,10558,11312,2671,2778
46,3,4603,"鹿児島3区",170610,11408,8220,2227,3618,134712,386,4022,8939,1983,2167
46,4,4604,"鹿児島4区",167010,11998,2770,1752,3302,134205,125,4380,7847,2293,3351
47,1,4701,"沖縄1区",136750,21803,10011,13377,1243,67226,1644,15744,6951,3933,4536
47,2,4702,"沖縄2区",149948,10978,1829,10235,1451,109615,588,9554,4253,3141,5858
47,3,4703,"沖縄3区",150867,10919,151,5533,2693,119334,508,2936,3539,3267,6337
47,4,4704,"沖縄4区",156924,11237,631,7063,1344,116809,557,11662,7134,3157,4571
