"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
4,2,402,"宮城2区",257529,2040,1965,52,22,23837,19168,2036,9370,17069,51219,6858,7940,9948,13378,8999,14200,30965,1548,20569,10885,7426,2092,43027,204984
4,3,403,"宮城3区",158176,8093,7770,141,139,15376,30511,764,1963,10144,24282,2394,2373,3365,7033,5193,6728,18179,1489,10029,6072,3908,8234,46026,100008
4,4,404,"宮城4区",216453,6270,6032,3240,83,24792,30005,1902,2660,16504,36027,3591,3381,4845,10562,6914,8686,25200,1937,15191,10210,4453,9510,54880,147610
4,5,405,"宮城5区",204529,20253,19553,2200,68,20924,37155,786,988,10245,28001,2572,1800,3453,8831,6307,8314,25618,3284,11121,7066,5543,22453,58147,118386
5,1,501,"秋田1区",142787,2610,2225,24,86,11227,10793,1109,3029,7190,25673,4414,2607,4358,7989,5645,8353,22823,1196,10799,8498,4364,2634,22106,113683
5,2,502,"秋田2区",136128,14059,13189,364,126,14305,19695,762,742,5369,19866,1872,1169,1981,5602,4690,5246,22722,2269,7968,5897,1424,14423,34126,86155
5,3,503,"秋田3区",184979,22888,21898,177,222,18669,34466,671,702,5631,25471,2349,1375,3239,8110,6291,7078,26794,3421,8634,6937,1854,23065,53357,106703
6,1,601,"山形1区",177992,9150,9045,9,37,13184,26594,927,2637,7528,30237,5141,2679,4267,9821,6168,8871,25891,1715,10672,8163,4301,9159,39815,124717
6,2,602,"山形2区",192451,19406,19015,32,116,16283,48041,584,1304,5864,24201,2748,1384,3138,8411,5590,7801,24496,2451,8437,8666,3498,19438,64440,105075
6,3,603,"山形3区",170479,17600,16983,450,125,16689,30982,854,886,5801,23469,2869,1387,3273,7829,5788,7059,24736,2871,9132,6208,2471,18050,47796,102162
7,1,701,"福島1区",223115,14097,13795,15,52,18962,40157,1266,2821,10000,31426,4716,2847,5445,9887,7242,10124,29730,2266,13626,11639,6797,14112,59171,143035
7,2,702,"福島2区",249328,13978,13428,25,130,24113,45013,986,2888,13785,38551,4678,3896,6979,11467,8100,11041,29208,2453,14667,7629,9741,14003,69256,156328
7,3,703,"福島3区",194606,18013,17074,50,120,16304,42554,1065,1055,7129,24981,2720,1743,3642,11542,6234,8267,24419,2685,10205,6999,4879,18063,58978,112686
7,4,704,"福島4区",204996,6460,6059,1027,152,28376,34870,2637,1617,9726,27989,3206,2815,5766,10135,7290,8394,25648,1563,15488,6652,5185,7487,63398,128926
8,1,801,"茨城1区",239513,10528,10416,60,152,18508,38666,1372,3675,12969,38011,6240,3711,8518,11184,9115,12360,31476,1817,13928,10165,7058,10588,57326,164541
8,2,802,"茨城2区",180072,18863,18818,910,138,18000,35053,1020,1239,12336,23413,2285,1972,4321,7977,6433,6119,17093,1518,9219,5989,6174,19773,53191,100934
8,3,803,"茨城3区",209255,6248,6224,19,38,13687,39152,1030,6353,12396,30978,4041,3860,9200,9190,9097,10322,24791,1452,12836,8295,6270,6267,52877,143841
8,4,804,"茨城4区",149108,7095,6763,95,57,11253,31144,1081,3403,6391,21538,2798,1692,6002,6688,5412,6421,17995,1370,9160,5667,3846,7190,42454,95618
8,5,805,"茨城5区",124761,2092,1994,297,22,9253,33231,1043,3979,5194,16296,1773,1394,6107,5805,4246,5489,14752,807,7081,3256,2644,2389,42506,77222
8,6,806,"茨城6区",258060,10074,10027,71,39,15857,42942,964,5641,14471,36893,4463,4170,21407,11995,8408,16296,31632,1836,13635,8953,8313,10145,58838,180764
8,7,807,"茨城7区",202175,12917,12886,12,30,16054,56864,453,1712,16188,26411,2574,2095,3877,7463,6493,7207,18752,1650,9298,4990,7135,12929,72948,109163
9,1,901,"栃木1区",222444,5418,5320,20,50,14989,42344,973,4184,9878,35467,5519,4403,11917,11631,7578,11350,25652,1379,12847,9315,7530,5438,57383,152093
9,2,902,"栃木2区",149727,9821,9421,61,203,11219,33900,539,1273,7588,19705,2057,1577,6464,9446,5722,6052,17268,1330,7670,4534,3298,9882,45322,91225
9,3,903,"栃木3区",139551,12363,11942,47,57,9945,32789,472,905,5321,17669,1621,1468,3206,9075,5719,6083,15721,1483,6398,4183,5026,12410,42791,79324
9,4,904,"栃木4区",212221,13713,13621,22,74,13881,52614,717,2822,12484,28369,3281,2644,6486,9069,6899,9497,24506,1687,11853,5846,5757,13735,66569,126160
9,5,905,"栃木5区",202652,6767,6664,13,359,13726,55855,612,1636,13000,29902,3296,2621,4163,9545,8227,8909,24142,1699,9509,5031,3640,6780,69940,122292
10,1,1001,"群馬1区",197520,12713,12199,33,39,16001,28550,1074,3033,8726,29866,4773,2921,5981,10803,7206,10957,29990,1553,10601,7868,4832,12746,44590,135352
