"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
28,11,2811,"兵庫11区",251346,186860,46211,45324,30415,0,0,7961,6948,887,95,18180
28,12,2812,"兵庫12区",171680,143916,22688,21758,11375,0,0,7391,2992,930,74,5002
29,1,2901,"奈良1区",248819,188038,43573,42586,20204,0,0,5715,16667,987,123,17085
29,2,2902,"奈良2区",237455,186516,36301,35550,13443,0,0,11662,10445,751,72,14566
29,3,2903,"奈良3区",214273,172373,29049,28403,13112,0,0,9238,6053,646,59,12792
30,1,3001,"和歌山1区",247781,184697,40605,39992,26575,0,0,6618,6799,613,105,22374
30,2,3002,"和歌山2区",239752,196675,35069,34559,18821,0,0,9802,5936,510,83,7925
31,1,3101,"鳥取1区",143817,110880,24884,24371,15097,0,0,3802,5472,513,42,8011
31,2,3102,"鳥取2区",145158,110601,25159,24308,13508,0,0,5155,5645,851,58,9340
32,1,3201,"島根1区",161371,124294,28745,28220,17120,0,0,4606,6494,525,64,8268
32,2,3202,"島根2区",185464,145216,34960,33215,21133,0,0,5591,6491,1745,120,5168
33,1,3301,"岡山1区",212822,146465,47077,45554,23921,16871,3885,8264,13369,1523,78,19202
33,2,3302,"岡山2区",262839,191481,46801,45507,30195,18771,7974,7572,7740,1294,157,24400
33,3,3303,"岡山3区",251957,202251,39246,37187,19278,0,0,10574,7335,2059,99,10361
33,4,3304,"岡山4区",252769,176793,45348,44375,28273,0,0,7599,8503,973,87,30541
34,1,3401,"広島1区",259575,172606,59748,58583,34697,18354,12326,10946,12940,1165,118,27103
34,2,3402,"広島2区",244298,174210,49449,48361,29925,14783,9069,8510,9926,1088,95,20544
34,3,3403,"広島3区",264433,193544,51025,49686,31868,20528,9197,7135,10683,1339,146,19718
34,4,3404,"広島4区",246529,187335,45664,43351,24476,0,0,10347,8528,2313,101,13429
34,5,3405,"広島5区",191027,153215,31318,29893,17825,0,0,7328,4740,1425,61,6433
34,6,3406,"広島6区",236684,172200,42549,41021,28544,0,0,5009,7468,1528,113,21822
35,1,3501,"山口1区",245419,179443,52231,51144,30142,0,0,10384,10618,1087,71,13674
35,2,3502,"山口2区",236272,180514,39984,39164,22547,0,0,9326,7291,820,66,15708
35,3,3503,"山口3区",223632,173032,41271,39933,27270,0,0,5424,7239,1338,74,9255
36,1,3601,"徳島1区",220067,163026,39790,38797,22273,0,0,9032,7492,993,83,17168
36,2,3602,"徳島2区",156227,126476,23993,23026,11468,0,0,7991,3567,967,51,5707
37,1,3701,"香川1区",191484,133384,38894,38291,22981,0,0,3997,11313,603,59,19147
37,2,3702,"香川2区",154612,123341,22386,21355,11355,0,0,6196,3804,1031,46,8839
