"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
45,2,4502,"宮崎2区",41955,20323,19171,18311,45,1152,150,21482,0,0,18311,21482
45,3,4503,"宮崎3区",47156,22452,21497,20686,43,955,123,24581,0,0,20686,24581
46,1,4601,"鹿児島1区",51175,23224,22477,21821,22,747,163,27788,0,0,21821,27788
46,2,4602,"鹿児島2区",55104,25334,24419,23537,49,915,162,29608,0,0,23537,29608
46,3,4603,"鹿児島3区",56356,26459,25442,24538,57,1017,155,29742,0,0,24538,29742
46,4,4604,"鹿児島4区",58334,26273,25400,24497,52,873,179,31882,0,0,24497,31882
47,1,4701,"沖縄1区",30488,11623,10870,10257,41,753,123,18742,0,0,10257,18742
47,2,4702,"沖縄2区",26408,11697,11091,10533,58,606,118,14593,0,0,10533,14593
47,3,4703,"沖縄3区",33592,13380,12430,11532,76,950,150,20062,0,0,11532,20062
47,4,4704,"沖縄4区",28622,13298,12652,11945,66,646,120,15204,0,0,11945,15204
