"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
8,2,802,"茨城2区",77229,48955,12065,36890,26709,0,22645,3606,458,1565
8,3,803,"茨城3区",91625,42193,7995,34198,47556,0,31231,15628,697,1876
8,4,804,"茨城4区",64099,38227,6801,31426,24707,0,23748,638,321,1165
8,5,805,"茨城5区",52142,38211,4243,33968,13216,0,12142,935,139,715
8,6,806,"茨城6区",112969,69212,10576,58636,41143,0,34100,6394,649,2614
8,7,807,"茨城7区",87916,50885,11562,39323,34869,0,22125,12036,708,2162
9,1,901,"栃木1区",95114,76205,8323,67882,16180,0,14545,1339,296,2729
9,2,902,"栃木2区",65609,46299,7922,38377,18189,0,17632,298,259,1121
9,3,903,"栃木3区",62702,41430,9159,32271,19688,0,18847,535,306,1584
9,4,904,"栃木4区",92441,54309,10811,43498,36402,0,27635,8190,577,1730
9,5,905,"栃木5区",89343,65966,9371,56595,22174,0,13597,8238,339,1203
10,1,1001,"群馬1区",89773,66628,10167,56461,21323,0,20179,796,348,1822
10,2,1002,"群馬2区",89646,55324,8991,46333,32015,0,28416,3032,567,2307
10,3,1003,"群馬3区",83568,51910,8111,43799,29717,0,20427,8819,471,1941
10,4,1004,"群馬4区",76999,55083,6488,48595,20245,0,16909,2994,342,1671
10,5,1005,"群馬5区",83378,53588,10016,43572,28234,0,27180,585,469,1556
11,1,1101,"埼玉1区",90817,37588,7556,30032,50900,18672,10293,21163,772,2329
11,2,1102,"埼玉2区",98938,49734,8878,40856,46024,0,12007,32824,1193,3180
11,3,1103,"埼玉3区",94125,49657,7168,42489,41744,0,19508,21348,888,2724
11,4,1104,"埼玉4区",95081,34734,7548,27186,57770,0,18887,37647,1236,2577
11,5,1105,"埼玉5区",92220,39453,6902,32551,50518,20303,10086,19362,767,2249
11,6,1106,"埼玉6区",101096,46083,7727,38356,52608,0,40117,11547,944,2405
11,7,1107,"埼玉7区",90957,47305,7206,40099,41078,0,25430,14731,917,2574
11,8,1108,"埼玉8区",97170,48471,7731,40740,46262,0,18915,26404,943,2437
11,9,1109,"埼玉9区",95194,48660,7364,41296,44852,0,30231,13916,705,1682
11,10,1110,"埼玉10区",78389,33684,6410,27274,43072,0,36748,5643,681,1633
