"ken","kuno","kucode","kuname","1一般世帯数_総数1","2一般世帯数_世帯人員が1人2","3一般世帯数_世帯人員が2人3","4一般世帯数_世帯人員が3人4","5一般世帯数_世帯人員が4人5","6一般世帯数_世帯人員が5人6"
14,14,1414,"神奈川14区",218065,217699,366,486989,478399,8590
14,15,1415,"神奈川15区",227429,227041,388,532445,522284,10161
14,16,1416,"神奈川16区",204060,203643,417,462001,453168,8833
14,17,1417,"神奈川17区",225761,225099,662,526496,513206,13290
14,18,1418,"神奈川18区",248554,248194,360,498011,491955,6056
14,19,1419,"神奈川19区",186790,186457,333,446860,438315,8545
14,20,1420,"神奈川20区",193188,192889,299,413736,406474,7262
15,1,1501,"新潟1区",194503,194209,294,434255,423788,10467
15,2,1502,"新潟2区",181122,180780,342,474855,461707,13148
15,3,1503,"新潟3区",163762,163338,424,446769,433588,13181
15,4,1504,"新潟4区",167772,167319,453,430288,419061,11227
15,5,1505,"新潟5区",157591,157150,441,415105,403062,12043
16,1,1601,"富山1区",138691,138412,279,321666,313255,8411
16,2,1602,"富山2区",106785,106469,316,286989,279097,7892
16,3,1603,"富山3区",158513,158126,387,426159,415382,10777
17,1,1701,"石川1区",207520,207119,401,463254,447663,15591
17,2,1702,"石川2区",153838,153519,319,391740,381977,9763
17,3,1703,"石川3区",108552,108197,355,277532,267671,9861
18,1,1801,"福井1区",171147,170442,705,450734,437817,12917
18,2,1802,"福井2区",120515,120250,265,316129,308639,7490
19,1,1901,"山梨1区",216754,216163,591,507444,493904,13540
19,2,1902,"山梨2区",122099,121894,205,302530,295682,6848
20,1,2001,"長野1区",205183,204765,418,503198,491215,11983
20,2,2002,"長野2区",187254,186808,446,451850,441177,10673
20,3,2003,"長野3区",190359,189815,544,471170,458493,12677
20,4,2004,"長野4区",119203,118960,243,286555,279780,6775
20,5,2005,"長野5区",130098,129631,467,335238,327884,7354
21,1,2101,"岐阜1区",173386,173032,354,402557,393562,8995
21,2,2102,"岐阜2区",133640,133364,276,358439,351161,7278
21,3,2103,"岐阜3区",193192,192858,334,495524,485736,9788
21,4,2104,"岐阜4区",154128,153712,416,398648,390299,8349
21,5,2105,"岐阜5区",126384,126063,321,323574,316478,7096
22,1,2201,"静岡1区",201561,201232,329,462323,451729,10594
22,2,2202,"静岡2区",172420,172207,213,452533,445135,7398
22,3,2203,"静岡3区",178402,178120,282,465839,457395,8444
22,4,2204,"静岡4区",152915,152650,265,373922,366449,7473
22,5,2205,"静岡5区",213277,212825,452,531311,516380,14931
22,6,2206,"静岡6区",221143,220730,413,498671,485192,13479
22,7,2207,"静岡7区",142917,142606,311,384238,371614,12624
22,8,2208,"静岡8区",200837,200599,238,464365,457149,7216
23,1,2301,"愛知1区",262347,261978,369,491530,483714,7816
23,2,2302,"愛知2区",237178,236770,408,506587,494938,11649
23,3,2303,"愛知3区",234714,234127,587,521218,511055,10163
23,4,2304,"愛知4区",211923,211382,541,453514,444243,9271
23,5,2305,"愛知5区",204870,204497,373,426679,418156,8523
23,6,2306,"愛知6区",183273,182993,280,436473,428403,8070
23,7,2307,"愛知7区",180975,180757,218,441147,433613,7534
23,8,2308,"愛知8区",220399,220121,278,535372,527687,7685
23,9,2309,"愛知9区",180166,179884,282,459985,452598,7387
23,10,2310,"愛知10区",173573,173321,252,428056,421103,6953
23,11,2311,"愛知11区",200969,200738,231,484282,476727,7555
23,12,2312,"愛知12区",218643,218332,311,553700,546123,7577
23,13,2313,"愛知13区",221228,221053,175,532581,526940,5641
23,14,2314,"愛知14区",139209,138821,388,359399,350808,8591
23,15,2315,"愛知15区",172677,172435,242,431280,423191,8089
23,16,2316,"愛知16区",196157,195917,240,480612,472792,7820
24,1,2401,"三重1区",183144,182746,398,433682,420695,12987
24,2,2402,"三重2区",207402,207015,387,497672,486909,10763
24,3,2403,"三重3区",209065,208803,262,500506,493177,7329
24,4,2404,"三重4区",142987,142619,368,338394,327257,11137
25,1,2501,"滋賀1区",164125,163874,251,391447,383594,7853
25,2,2502,"滋賀2区",206023,205701,322,532863,524525,8338
25,3,2503,"滋賀3区",201226,200954,272,489300,482994,6306
26,1,2601,"京都1区",264619,264408,211,496239,489463,6776
26,2,2602,"京都2区",170690,170427,263,337742,328196,9546
26,3,2603,"京都3区",195086,194865,221,431278,421863,9415
26,4,2604,"京都4区",215774,215490,284,482594,473549,9045
26,5,2605,"京都5区",118872,118552,320,279126,268707,10419
26,6,2606,"京都6区",225486,225161,325,551108,541980,9128
27,1,2701,"大阪1区",314572,314327,245,533094,526664,6430
