"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
34,5,3405,"広島5区",20888,8555,4387,4720,862,2297,62,5,7839,944,2728,1348,2819,0
34,6,3406,"広島6区",30164,12651,6174,6329,1434,3491,82,3,12172,1344,3632,2250,4946,0
35,1,3501,"山口1区",31194,11832,5975,6260,1575,5265,283,4,11286,2179,4347,831,3929,0
35,2,3502,"山口2区",25001,10776,5695,5761,1545,1198,23,3,9884,1685,3513,774,3912,0
35,3,3503,"山口3区",23352,9460,5051,5021,1268,2502,46,4,8307,1081,3256,1069,2901,0
36,1,3601,"徳島1区",24322,8965,4687,4898,1096,4351,323,2,8760,1077,3307,1579,2797,0
36,2,3602,"徳島2区",16918,6799,3647,3907,726,1649,188,2,6470,1137,1867,1189,2277,0
37,1,3701,"香川1区",23195,9396,4772,4968,975,2942,141,1,9269,1608,3044,1322,3295,0
37,2,3702,"香川2区",17701,6950,3850,4013,990,1815,79,4,6219,692,2075,1465,1987,0
37,3,3703,"香川3区",16676,6972,3662,3833,1033,1140,34,2,6694,1384,2156,814,2340,0
38,1,3801,"愛媛1区",33215,12650,6476,6794,1728,5364,202,1,12206,2595,2695,1518,5398,0
38,2,3802,"愛媛2区",25036,11163,5774,5694,1277,1100,24,4,10107,1442,3742,1263,3660,0
38,3,3803,"愛媛3区",19620,8171,4466,4734,701,1501,43,4,7143,837,3159,908,2239,0
39,1,3901,"高知1区",21808,8397,4440,4711,1272,2804,180,4,8291,763,3965,674,2889,0
39,2,3902,"高知2区",17939,6995,3820,4084,937,2020,78,5,6535,333,3510,501,2191,0
