"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
40,4,4004,"福岡4区",108099,4014,19328,6207,731,69789,189,6197,7510,2903,2572
40,5,4005,"福岡5区",114473,5415,26843,7306,687,64755,190,7404,10497,3400,3299
40,6,4006,"福岡6区",96263,5908,10041,2795,603,68502,121,3632,7847,1823,2194
40,7,4007,"福岡7区",68058,2550,3782,926,489,54147,45,2676,4120,1243,1983
40,8,4008,"福岡8区",85368,3765,5237,1449,708,69301,79,2026,3294,1706,1772
40,9,4009,"福岡9区",97724,6051,9938,6859,722,67965,214,3221,5025,2149,2509
40,10,4010,"福岡10区",102196,7944,11537,7897,740,63922,301,3473,7512,3194,3235
40,11,4011,"福岡11区",63715,2966,2978,334,635,52137,41,1196,3297,997,1430
41,1,4101,"佐賀1区",91701,4263,5093,1762,549,69848,95,2825,9314,1481,2031
41,2,4102,"佐賀2区",89206,3308,1734,878,1727,76521,308,1537,2953,1565,1316
42,1,4201,"長崎1区",88026,8898,5362,13123,730,45563,350,12582,1801,2730,2481
42,2,4202,"長崎2区",103387,6704,3651,3573,1333,79036,132,5129,3471,2708,1958
42,3,4203,"長崎3区",95870,11344,1580,3170,1045,67774,247,5896,3218,3493,1694
43,1,4301,"熊本1区",113330,9008,4645,5617,631,71033,329,9897,14836,2442,3267
43,2,4302,"熊本2区",79336,2816,2691,1993,468,60697,129,4959,6487,1541,2056
43,3,4303,"熊本3区",80864,2543,1294,856,488,69448,47,4155,3077,1203,804
43,4,4304,"熊本4区",92135,3954,1494,483,780,77495,102,3023,4995,2236,1005
44,1,4401,"大分1区",109304,5930,3158,3352,756,82740,145,5833,9882,1834,1631
44,2,4402,"大分2区",63454,3876,700,196,653,53028,63,2069,2972,1165,684
44,3,4403,"大分3区",74447,4512,1811,935,937,59875,100,2590,3303,1165,1603
45,1,4501,"宮崎1区",88413,4349,1257,2669,415,66790,137,4546,9211,1573,2115
45,2,4502,"宮崎2区",67973,3672,587,334,554,56013,59,2386,4337,1177,997
45,3,4503,"宮崎3区",65737,2889,405,145,421,56976,53,1579,2546,1417,717
46,1,4601,"鹿児島1区",90311,7562,3666,6005,689,55473,266,9567,8793,2640,2212
46,2,4602,"鹿児島2区",85920,4718,2303,1277,793,66624,99,7202,3962,1868,1135
46,3,4603,"鹿児島3区",81151,4028,1852,612,1424,68620,274,2480,2693,1226,854
46,4,4604,"鹿児島4区",80758,4968,505,235,725,68648,44,2510,2648,1290,1370
47,1,4701,"沖縄1区",65773,8520,3930,3834,408,33298,658,12865,3425,1879,1872
47,2,4702,"沖縄2区",70060,3181,635,2859,652,51892,228,8366,1924,1671,2367
47,3,4703,"沖縄3区",72291,3463,67,1139,1351,59184,152,2598,1643,1820,2899
47,4,4704,"沖縄4区",76694,4282,212,1892,690,56233,232,10116,3185,1812,2082
