"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
20,3,2003,"長野3区",230116,156642,32584,124058,70359,0,66926,2706,727,3115
20,4,2004,"長野4区",145147,90588,18387,72201,53295,0,50749,2130,416,1264
20,5,2005,"長野5区",177016,115572,26381,89191,59008,0,57338,1006,664,2436
21,1,2101,"岐阜1区",194500,124166,19083,105083,64381,0,42285,20490,1606,5953
21,2,2102,"岐阜2区",176741,89116,18130,70986,85187,0,68757,15427,1003,2438
21,3,2103,"岐阜3区",241339,114309,24252,90057,122761,0,91145,30043,1573,4269
21,4,2104,"岐阜4区",200222,134145,24259,109886,63827,0,48518,14528,781,2250
21,5,2105,"岐阜5区",159926,98755,16356,82399,58869,0,35655,22387,827,2302
22,1,2201,"静岡1区",230125,152509,22547,129962,71870,51566,17036,2330,938,5746
22,2,2202,"静岡2区",234029,134928,25342,109586,96128,0,93664,1456,1008,2973
22,3,2203,"静岡3区",241849,143618,24650,118968,94960,0,92599,1563,798,3271
22,4,2204,"静岡4区",185774,134464,19231,115233,47498,18352,26655,1898,593,3812
22,5,2205,"静岡5区",262768,171147,23308,147839,90002,0,81995,7552,455,1619
22,6,2206,"静岡6区",228009,148243,28627,119616,77033,0,69819,6536,678,2733
22,7,2207,"静岡7区",197279,111344,23268,88076,84424,56399,20672,6993,360,1511
22,8,2208,"静岡8区",237215,132009,20962,111047,103300,75727,23831,3287,455,1906
23,1,2301,"愛知1区",223713,92998,20138,72860,124165,85080,32929,4189,1967,6550
23,2,2302,"愛知2区",226925,79903,17125,62778,141033,94844,39510,4443,2236,5989
23,3,2303,"愛知3区",235818,80883,17221,63662,149102,92997,51032,3063,2010,5833
23,4,2304,"愛知4区",204505,85152,15849,69303,114011,81318,28068,2844,1781,5342
23,5,2305,"愛知5区",195459,78547,16234,62313,110768,62104,42336,4345,1983,6144
23,6,2306,"愛知6区",205092,103573,14951,88622,96466,0,89203,5697,1566,5053
23,7,2307,"愛知7区",210095,72722,14608,58114,133460,0,129396,2408,1656,3913
