"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
14,10,1410,"神奈川10区",190053,3076,40506,43212,23487,19315,2240,319,18722,7759,8824,14968,7625
14,11,1411,"神奈川11区",191520,2875,30302,34901,21337,26248,16689,3676,19177,7775,9038,13949,5553
14,12,1412,"神奈川12区",221229,4176,49062,45469,30305,26371,3752,2449,24011,6206,8205,14438,6785
14,13,1413,"神奈川13区",188470,2731,34893,37232,25296,23160,4865,1271,21474,7133,8861,15698,5856
14,14,1414,"神奈川14区",218830,3387,37375,42023,25071,26424,4016,1807,31115,9470,10244,20876,7022
14,15,1415,"神奈川15区",230368,4385,44395,46346,30108,28615,4412,2863,28704,7424,8321,17695,7100
14,16,1416,"神奈川16区",210733,3402,44581,43419,22534,22589,3514,3018,26909,8533,7547,18764,5923
14,17,1417,"神奈川17区",243340,4319,41729,44549,27268,34684,4334,5978,33084,8426,9705,22636,6628
14,18,1418,"神奈川18区",241822,4077,65732,64404,35045,23489,2830,646,15950,4699,6572,11722,6656
14,19,1419,"神奈川19区",204996,5049,47292,52364,33138,21402,1963,1452,14087,4951,6953,10922,5423
14,20,1420,"神奈川20区",180493,2706,39854,38237,23444,21478,3714,940,17595,5599,7235,13983,5708
15,1,1501,"新潟1区",207680,4831,36625,45243,26916,26143,4367,6898,21352,7379,9440,14497,3989
15,2,1502,"新潟2区",237536,4749,34626,45004,25415,26471,3194,10966,43852,7990,9766,19499,6004
15,3,1503,"新潟3区",219560,3969,28003,34546,21454,27021,3917,13585,40440,10371,14245,17311,4698
15,4,1504,"新潟4区",208982,4997,32936,38899,20158,24388,2562,7235,40400,7772,10755,15638,3242
15,5,1505,"新潟5区",210652,4545,28499,33687,18576,29046,4096,13451,37252,8544,14134,15550,3272
16,1,1601,"富山1区",162309,3728,28964,31182,20323,18270,2488,2598,27277,4818,7493,11318,3850
16,2,1602,"富山2区",147834,2532,22392,25416,13027,15988,1971,5608,34557,4950,7718,10975,2700
16,3,1603,"富山3区",218818,4525,33232,39970,22362,24416,2823,6638,45737,7815,10217,16646,4437
17,1,1701,"石川1区",222028,4767,42592,43549,32078,28285,3899,2638,25936,6163,10127,15561,6433
17,2,1702,"石川2区",201573,3839,29923,36885,21013,23344,4045,4364,43831,6144,9473,16206,2506
17,3,1703,"石川3区",136532,2558,19598,22752,12975,18088,2536,7283,25246,5777,7921,10088,1710
18,1,1801,"福井1区",232963,5434,38777,46713,23730,27131,3678,6951,40370,6867,11823,16524,4965
18,2,1802,"福井2区",162802,3497,23684,28802,14240,18155,3276,5208,35819,6595,9324,11122,3080
19,1,1901,"山梨1区",244990,5303,41571,46688,27188,29143,3934,12368,40406,7065,11182,16048,4094
19,2,1902,"山梨2区",153588,3251,21482,25572,14565,21802,2949,13895,25218,4366,7770,10405,2313
20,1,2001,"長野1区",255009,5176,40828,47775,28980,29359,3473,20701,34254,7380,11909,17697,7477
20,2,2002,"長野2区",226993,4673,38575,41360,22072,29239,2998,17586,31359,7121,9983,15927,6100
20,3,2003,"長野3区",230116,4804,35162,38728,22006,29485,2321,19100,42672,5815,9725,16107,4191
20,4,2004,"長野4区",145147,3450,24043,27055,12035,18331,1425,8338,29533,3561,5868,9868,1640
20,5,2005,"長野5区",177016,3625,26116,27388,14800,20170,1745,16168,39929,4631,7779,11376,3289
21,1,2101,"岐阜1区",194500,3988,35088,39059,25289,23781,3507,2761,27219,5190,8892,13704,6022
21,2,2102,"岐阜2区",176741,3504,25515,36479,16083,18373,2033,4987,37909,6366,8039,14094,3359
21,3,2103,"岐阜3区",241339,4292,36371,45704,24691,26186,5209,4883,50996,7861,11530,18570,5046
