"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
8,1,801,"茨城1区",433728,406321,3021,48786,182275,53779,68108,6554,43798,27172,230,5
8,2,802,"茨城2区",318536,301479,3600,55325,145757,31296,30356,3046,32099,16738,317,2
8,3,803,"茨城3区",401960,374190,2389,37731,148503,53435,75763,8856,47513,27540,224,6
8,4,804,"茨城4区",274357,258802,2472,34904,119320,32503,37701,5255,26647,15356,198,1
8,5,805,"茨城5区",248215,232384,2158,33977,110092,27199,32598,5756,20604,15648,183,0
8,6,806,"茨城6区",452402,412492,2814,43650,153771,57725,86222,21943,46367,39545,362,3
8,7,807,"茨城7区",348874,327846,3690,61959,147021,36972,37371,2443,38390,20722,292,14
9,1,901,"栃木1区",425525,397435,1538,32920,145329,53842,76531,10977,76298,27878,204,8
9,2,902,"栃木2区",262821,248403,2256,37388,118675,32474,34613,3253,19744,14100,317,1
9,3,903,"栃木3区",246365,231192,2071,38639,102481,27692,29296,3079,27934,14952,217,4
9,4,904,"栃木4区",368779,343135,2695,48082,150282,46716,56062,5929,33369,25142,497,5
9,5,905,"栃木5区",366502,344472,3585,58102,159736,46501,47849,3215,25484,21611,413,6
10,1,1001,"群馬1区",344682,320753,3386,43761,136888,48313,58277,5432,24696,23680,246,3
10,2,1002,"群馬2区",349554,324831,2668,45887,140183,47035,46881,3586,38591,24243,466,14
10,3,1003,"群馬3区",346139,323295,2553,42669,138417,48979,49613,4341,36723,22446,388,10
10,4,1004,"群馬4区",305743,282982,2053,30272,114382,42996,56338,5775,31166,22373,385,3
10,5,1005,"群馬5区",326842,308231,3889,50706,139944,42043,40296,2950,28403,18178,432,1
11,1,1101,"埼玉1区",385690,354915,1143,19204,98050,54770,108697,10251,62800,30555,214,6
11,2,1102,"埼玉2区",412464,383996,1638,37649,123694,55178,83191,7025,75621,27944,501,23
11,3,1103,"埼玉3区",396373,366510,1548,35672,125186,53491,79504,5475,65634,29537,317,9
11,4,1104,"埼玉4区",399539,369092,1116,25822,110223,56173,92969,9231,73558,30194,244,9
11,5,1105,"埼玉5区",396620,367039,1301,20452,105874,56659,107368,10795,64590,29340,232,9
11,6,1106,"埼玉6区",415916,386892,2030,36129,146180,64228,88302,6177,43846,28811,207,6
11,7,1107,"埼玉7区",366337,339042,1343,31758,121784,54944,79150,6640,43423,26996,292,7
11,8,1108,"埼玉8区",392860,362934,1367,28953,126514,61548,95553,8323,40676,29553,345,28
11,9,1109,"埼玉9区",420219,390349,2098,44525,161334,59258,72901,5170,45063,29677,188,5
11,10,1110,"埼玉10区",342904,316226,1870,37401,122896,48032,59102,4387,42538,26192,483,3
11,11,1111,"埼玉11区",353573,330697,3460,53477,147867,47234,44640,3176,30843,22602,269,5
11,12,1112,"埼玉12区",384249,358817,3284,46840,151268,51956,60342,4156,40971,25091,339,2
11,13,1113,"埼玉13区",383991,357928,2293,39532,142475,53369,72688,5285,42286,25748,311,4
11,14,1114,"埼玉14区",421652,393208,1688,44461,131618,49893,70460,5250,89838,28091,334,19
11,15,1115,"埼玉15区",428419,393579,1247,25778,110007,59288,106527,9894,80838,34576,250,14
11,16,1116,"埼玉16区",369376,344701,1805,42053,135371,49394,63288,3854,48936,24444,228,3
12,1,1201,"千葉1区",429518,393589,1139,25041,120811,60951,106714,13245,65688,35672,235,22
12,2,1202,"千葉2区",326705,300940,1003,21820,95241,46719,74922,6266,54969,25320,421,24
12,3,1203,"千葉3区",342872,318530,1770,32415,119488,44018,55387,6869,58583,23848,482,12
12,4,1204,"千葉4区",416671,385621,1219,24545,110359,62081,109925,10312,67180,30839,197,14
12,5,1205,"千葉5区",430557,397674,902,18819,95586,61577,127132,14000,79658,32694,173,16
12,6,1206,"千葉6区",433082,401641,1322,28718,122704,61231,100330,8541,78795,31157,266,18
12,7,1207,"千葉7区",298189,276978,1245,25879,90754,40909,66355,7329,44507,21063,141,7
12,8,1208,"千葉8区",361951,335314,1118,22288,104180,53539,89055,8778,56356,26489,144,4
12,9,1209,"千葉9区",416959,389179,1649,35811,146790,58486,80788,6005,59650,27501,263,16
12,10,1210,"千葉10区",348452,327675,4885,54627,151207,41481,41401,2768,31306,20319,454,4
12,11,1211,"千葉11区",367380,345781,3753,53390,167514,42845,46195,2951,29133,21252,343,4
12,12,1212,"千葉12区",387700,365918,3699,51635,176045,40623,45065,5025,43826,21370,411,1
12,13,1213,"千葉13区",428790,397464,1798,32781,138930,62998,92662,7465,60830,31133,188,5
12,14,1214,"千葉14区",426856,390877,1303,27111,125202,62953,105734,9469,59105,35709,266,4
13,1,1301,"東京1区",344147,320368,500,7995,46490,29954,92907,18532,123990,23586,142,51
13,2,1302,"東京2区",336365,320194,562,10466,55744,34640,96787,17836,104159,15917,236,18
13,3,1303,"東京3区",373820,353308,1031,17941,77116,44432,113135,18819,80834,20311,192,9
13,4,1304,"東京4区",438189,413264,1397,28220,107591,55014,107293,13687,100062,24589,320,16
13,5,1305,"東京5区",400909,371621,450,7668,55087,48426,126186,18068,115736,29048,230,10
13,6,1306,"東京6区",427768,392178,519,9596,64825,51806,131254,17785,116393,35455,130,5
13,7,1307,"東京7区",412951,390741,514,7526,49865,39557,119711,23489,150079,22024,135,51
13,8,1308,"東京8区",397453,369544,462,7939,62353,50372,135945,18071,94402,27639,264,6
13,9,1309,"東京9区",312750,286532,644,13088,65498,41619,85792,9188,70703,25772,434,12
13,10,1310,"東京10区",464411,426692,743,11898,74269,46305,136044,28036,129397,37469,218,32
13,11,1311,"東京11区",409243,379073,1183,20383,89722,47773,94235,10838,114939,29739,410,21
13,12,1312,"東京12区",408664,383046,1307,23448,92674,43376,92241,12637,117363,25302,283,33
13,13,1313,"東京13区",402218,376826,1704,34721,104815,41925,69941,7103,116617,25091,279,22
13,14,1314,"東京14区",423585,398045,1554,28094,103553,48155,96906,11518,108265,25286,233,21
13,15,1315,"東京15区",451718,423703,1278,24875,96344,50394,120288,17569,112955,27674,308,33
13,16,1316,"東京16区",415304,382268,1408,33906,108432,47645,81540,7921,101416,32763,252,21
13,17,1317,"東京17区",397861,371720,1875,32719,107577,45091,77990,7461,99007,25918,187,36
13,18,1318,"東京18区",410508,374733,692,12056,78449,54626,128100,16957,83853,35566,200,9
13,19,1319,"東京19区",341582,309371,662,11542,69584,44087,98702,14477,70317,31914,294,3
13,20,1320,"東京20区",430204,397180,1513,30735,121729,56771,87897,7624,90911,32735,280,9
