"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
13,7,1307,"東京7区",193923,183085,141,3393,19729,7742,63443,15604,73033,10749,61,28
13,8,1308,"東京8区",186626,172891,136,3794,24663,10412,73945,12473,47468,13623,108,4
13,9,1309,"東京9区",149104,135951,167,6465,27257,9994,50345,6653,35070,12971,174,8
13,10,1310,"東京10区",226799,206888,172,5671,31541,10083,73636,18515,67270,19790,105,16
13,11,1311,"東京11区",197986,182964,280,9788,38928,12401,54969,7459,59139,14837,174,11
13,12,1312,"東京12区",200742,187745,354,10590,40005,11731,54927,8873,61265,12865,120,12
13,13,1313,"東京13区",199586,186669,429,16357,47755,12356,43940,5186,60646,12786,119,12
13,14,1314,"東京14区",209488,196356,406,13539,46167,13212,58424,8308,56300,13022,100,10
13,15,1315,"東京15区",221489,207124,289,11615,41926,12362,70621,12540,57771,14232,118,15
13,16,1316,"東京16区",208298,191746,404,16741,49821,13906,50650,5992,54232,16435,106,11
13,17,1317,"東京17区",197631,183978,489,15762,48667,13129,48766,5478,51687,13562,73,18
13,18,1318,"東京18区",196872,178254,175,5552,31834,12623,73660,12301,42109,18501,109,8
13,19,1319,"東京19区",165078,148971,174,5264,29018,10382,58035,10836,35262,15986,121,0
13,20,1320,"東京20区",207323,190766,419,14685,53677,15973,55672,5664,44676,16427,125,5
13,21,1321,"東京21区",209127,187207,292,9006,44812,14948,62652,9986,45511,21821,95,4
13,22,1322,"東京22区",211865,192481,246,7602,35599,13643,74866,11948,48577,19317,63,4
13,23,1323,"東京23区",178364,161178,234,9113,40024,13606,58928,8942,30331,17075,108,3
13,24,1324,"東京24区",198763,178392,432,13909,51296,14664,51661,7530,38900,20236,127,8
13,25,1325,"東京25区",214039,198924,718,19322,69833,16810,47164,4650,40427,14895,214,6
13,26,1326,"東京26区",212080,196163,141,5495,28322,11021,76598,15482,59104,15837,68,12
13,27,1327,"東京27区",197786,185479,168,5437,29442,11885,64208,9969,64370,12240,62,5
13,28,1328,"東京28区",155705,143993,210,6195,27821,10210,52936,7619,39002,11619,88,5
13,29,1329,"東京29区",189542,176586,429,15068,44261,11972,42290,5734,56832,12804,135,17
13,30,1330,"東京30区",213320,194213,323,10712,46001,15669,71269,10946,39293,18912,191,4
14,1,1401,"神奈川1区",217198,200784,365,12818,52973,15069,69506,11239,38814,16258,145,11
14,2,1402,"神奈川2区",221468,206706,388,14103,53458,16084,68312,10515,43846,14634,123,5
14,3,1403,"神奈川3区",235129,218225,361,13982,54062,17127,68952,12643,51098,16720,176,8
14,4,1404,"神奈川4区",156346,144188,230,6427,33653,10947,61660,10230,21041,12090,66,2
14,5,1405,"神奈川5区",181666,166591,335,11803,46478,14081,60226,9666,24002,14948,123,4
14,6,1406,"神奈川6区",190495,175014,434,12655,48958,14549,57987,7465,32966,15287,193,1
14,7,1407,"神奈川7区",149819,137469,156,5509,25813,10314,56356,10992,28329,12288,62,0
14,8,1408,"神奈川8区",202700,182193,198,7788,37631,13630,79533,13399,30014,20444,62,1
14,9,1409,"神奈川9区",169134,153328,177,6181,29848,11826,60726,10319,34251,15719,83,4
14,10,1410,"神奈川10区",180369,170265,361,14999,47213,13258,45198,9168,40068,9978,115,11
14,11,1411,"神奈川11区",190496,175432,466,18937,70716,13800,41313,4027,26173,14942,121,1
