"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
44,2,4402,"大分2区",124944,119014,1114,20280,64232,7654,19041,1179,5514,5828,102,0
44,3,4403,"大分3区",142328,133422,694,15108,65102,9883,27668,1957,13010,8826,77,3
45,1,4501,"宮崎1区",165353,152777,526,15637,60230,11496,37995,3460,23433,12498,77,1
45,2,4502,"宮崎2区",129575,122472,1099,24946,61139,8434,17336,1555,7963,7030,72,1
45,3,4503,"宮崎3区",128876,121679,1235,25575,62049,8295,16825,1014,6686,7071,126,0
46,1,4601,"鹿児島1区",154012,140575,456,12221,54057,11697,41650,3931,16563,13371,65,1
46,2,4602,"鹿児島2区",156656,147032,1282,24147,69395,12637,28951,1956,8664,9474,150,0
46,3,4603,"鹿児島3区",151891,143152,1008,22876,75689,11049,23941,1674,6915,8597,141,1
46,4,4604,"鹿児島4区",155747,147080,1259,25905,72334,10324,20985,1887,14386,8543,124,0
47,1,4701,"沖縄1区",130482,120475,719,10818,39164,9790,30010,2566,27408,9881,120,6
47,2,4702,"沖縄2区",146189,132131,871,13419,42878,11602,25612,2278,35471,13902,152,4
47,3,4703,"沖縄3区",159730,146761,1142,20644,51421,12180,19646,1453,40275,12665,302,2
47,4,4704,"沖縄4区",146932,136838,1557,19555,52320,13409,23889,1385,24723,9795,299,0
