"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
24,1,2401,"三重1区",195800,183371,2702,25764,72439,33887,23311,1442,23826,12097,328,4
24,2,2402,"三重2区",212136,198771,2509,26293,87554,34921,21894,1100,24500,13060,298,7
24,3,2403,"三重3区",216091,201726,2111,25276,79714,36304,26202,1475,30644,14176,182,7
24,4,2404,"三重4区",160724,153050,3386,34999,65310,22394,11819,451,14691,7394,279,1
25,1,2501,"滋賀1区",173570,160570,1585,15319,56420,34619,27174,2213,23240,12864,134,2
25,2,2502,"滋賀2区",230570,214754,4040,30706,91402,43675,23163,1318,20450,15531,282,3
25,3,2503,"滋賀3区",204371,188070,1857,17175,73675,41706,27954,2024,23679,16092,206,3
26,1,2601,"京都1区",225359,205224,1271,15024,56554,36668,41132,4915,49660,19942,179,14
26,2,2602,"京都2区",153589,137665,971,10351,40031,23821,24954,3281,34256,15835,87,2
26,3,2603,"京都3区",194923,180573,1211,17031,60119,33994,28430,2286,37502,14233,106,11
26,4,2604,"京都4区",217239,200297,1608,18006,67951,38690,29604,2015,42423,16761,176,5
26,5,2605,"京都5区",124513,118467,2225,18214,52662,22154,10090,423,12699,5958,87,1
26,6,2606,"京都6区",248249,228352,1670,20508,83280,49186,35679,2233,35796,19704,190,3
27,1,2701,"大阪1区",241151,228026,1067,13152,53525,37665,40969,3313,78335,12712,402,11
27,2,2702,"大阪2区",255152,238107,1958,24848,75212,36937,28259,1736,69157,16590,433,22
27,3,2703,"大阪3区",193777,182118,1514,21487,60560,26274,17284,991,54008,11226,424,9
27,4,2704,"大阪4区",222421,209712,963,14324,56979,38152,37487,3017,58790,12423,276,10
27,5,2705,"大阪5区",230977,216320,1467,22063,67953,35060,26435,1924,61418,14278,374,5
27,6,2706,"大阪6区",211615,197987,1297,25231,67577,32501,21068,1179,49134,13368,254,6
27,7,2707,"大阪7区",206632,189542,693,12640,58277,42423,39576,3123,32810,16993,94,3
27,8,2708,"大阪8区",232861,215194,910,14929,64784,47760,45064,3241,38506,17443,223,1
27,9,2709,"大阪9区",201029,184112,761,12638,60503,43651,37881,3015,25663,16650,248,19
27,10,2710,"大阪10区",174763,162036,847,13522,54645,36170,28414,2071,26367,12343,381,3
27,11,2711,"大阪11区",207060,190983,993,16646,67455,43435,30056,1673,30725,15846,229,2
27,12,2712,"大阪12区",181366,168842,1025,21747,63191,30974,18085,761,33059,12410,112,2
27,13,2713,"大阪13区",218245,202723,1398,23125,69838,33015,20447,878,54022,15094,259,169
27,14,2714,"大阪14区",232943,215860,1655,24954,80623,43728,25714,1132,38054,16921,155,7
27,15,2715,"大阪15区",212887,197052,1681,20460,73371,42733,24212,1043,33552,15550,284,1
27,16,2716,"大阪16区",175860,163752,1351,16735,55870,33220,24515,1513,30548,11745,360,3
27,17,2717,"大阪17区",180152,167100,1355,18302,60687,33564,20099,995,32098,12693,355,4
27,18,2718,"大阪18区",236444,218701,2203,25470,76490,43652,24548,1004,45334,17546,193,4
27,19,2719,"大阪19区",166353,154081,1730,21836,57352,31015,16667,696,24785,12122,150,0
28,1,2801,"兵庫1区",218924,201226,831,11498,54639,40351,50011,4880,39016,17507,186,5
28,2,2802,"兵庫2区",205913,192438,1677,19353,73008,36024,27962,1595,32819,13087,385,3
28,3,2803,"兵庫3区",170731,158961,856,12524,57169,30946,27839,1572,28055,11534,233,3
28,4,2804,"兵庫4区",225287,209666,2646,23889,86050,40450,29833,1574,25224,15459,157,5
28,5,2805,"兵庫5区",206528,193971,3284,22908,82011,41830,25388,1134,17416,12233,323,1
28,6,2806,"兵庫6区",244284,226364,1086,16095,72353,51379,42522,2502,40427,17688,232,0
28,7,2807,"兵庫7区",246857,225604,793,11186,59570,50729,58752,4283,40291,21058,193,2
28,8,2808,"兵庫8区",194008,182531,1415,21277,63372,33428,25586,1569,35884,11223,231,23
28,9,2809,"兵庫9区",193830,182023,2344,21281,71024,32263,24623,1252,29236,11615,191,1
28,10,2810,"兵庫10区",183274,170789,1516,20519,70346,33549,21646,930,22283,12286,192,7
28,11,2811,"兵庫11区",216384,201438,2362,24579,79539,40878,27640,1463,24977,14722,224,0
28,12,2812,"兵庫12区",151233,141967,2599,22394,65262,26931,14362,658,9761,9036,230,0
29,1,2901,"奈良1区",218380,201355,1155,12146,67273,47209,42948,3168,27456,16940,84,1
29,2,2902,"奈良2区",207801,192085,1890,17315,73656,44537,29565,1353,23769,15552,163,1
29,3,2903,"奈良3区",190484,178950,2571,23159,73247,36912,22317,986,19758,11290,243,1
30,1,3001,"和歌山1区",218735,205985,2601,24994,83056,37918,24173,1407,31836,12544,205,1
30,2,3002,"和歌山2区",214000,203890,3757,37205,94385,34061,17082,662,16738,9975,132,3
31,1,3101,"鳥取1区",125916,118041,2163,14041,53105,22437,12606,790,12899,7699,175,1
31,2,3102,"鳥取2区",126233,119676,1665,14777,58497,22027,11586,655,10469,6473,83,1
32,1,3201,"島根1区",140763,132729,2301,20453,56103,24055,14029,944,14844,7888,146,0
32,2,3202,"島根2区",162655,154156,3378,28509,67799,27098,14018,816,12538,8315,183,1
33,1,3301,"岡山1区",182736,167791,1391,14276,66359,35502,31522,2410,16331,14859,84,2
33,2,3302,"岡山2区",227568,212761,1595,19812,85953,43769,31457,1629,28546,14681,126,0
33,3,3303,"岡山3区",222839,209909,2869,25849,99766,38402,22404,999,19620,12697,233,0
33,4,3304,"岡山4区",203421,189192,1556,20401,76534,39361,26721,1416,23203,13990,219,20
34,1,3401,"広島1区",222689,208079,998,13776,70012,48982,41115,2835,30361,14445,164,1
34,2,3402,"広島2区",206588,193096,1114,13016,71024,49351,34794,1695,22102,13241,248,3
