kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
1102,11,埼玉2区,478246,29443,0.06156455046147798,埼玉2区,226112,824,818,5,18,20239,30163,587,17383,15217,35995,6498,7407,9322,12907,8112,7282,21954,800,17394,4908,9097,829,50420,165766,埼玉2区,478246,18030,19198,19582,20123,24994,28622,29365,31150,34635,41391,36654,30090,23510,24857,29557,24404,17965,10343,3747,913,144,8972,56810,300534,111930,57516,15147,305268
1103,11,埼玉3区,457649,8696,0.019001461818992284,埼玉3区,213443,1839,1834,2,13,17765,25925,657,10516,17300,37240,5973,6429,7849,10991,7487,9433,24440,847,15070,6034,7633,1841,43703,160266,埼玉3区,457649,18405,20051,20896,21414,24451,24388,25598,29203,32732,40692,35041,27453,22285,25018,30009,25430,18007,9716,3739,1026,171,1924,59352,283257,113116,58089,14652,286861
1104,11,埼玉4区,466435,10391,0.022277487752848737,埼玉4区,216198,1543,1538,7,16,17084,22485,626,16366,13004,32439,6701,6340,11729,10935,7495,10133,23575,923,16480,10744,7573,1550,39585,167490,埼玉4区,466435,19883,21084,20357,20761,26332,26978,28251,31760,35301,40531,35711,28569,21903,22711,27278,22498,16580,9614,3709,907,145,5572,61324,296097,103442,53453,14375,298047
1105,11,埼玉5区,463794,7043,0.015185621202516635,埼玉5区,209809,839,833,6,14,13157,23172,1058,12588,10429,35256,8219,7295,11023,10670,7051,11198,24407,1139,16631,9333,6324,845,36343,166297,埼玉5区,463794,18403,19539,19775,20617,24967,28172,28305,30160,32975,38818,34410,29003,23942,23568,26732,21805,16097,10754,4857,1206,232,9457,57717,291369,105251,54951,17049,294320
1106,11,埼玉6区,483717,6114,0.012639621927697393,埼玉6区,229539,3194,3177,20,16,15207,34403,980,8555,16700,40241,5678,5517,8039,11043,8374,10646,27915,1067,16964,7903,7077,3214,49626,169622,埼玉6区,483717,15744,18286,19823,21375,22017,21310,23319,26550,31057,39097,34279,29772,27622,31835,37152,31058,21680,11845,4557,1181,210,13948,53853,276398,139518,70531,17793,286858
1107,11,埼玉7区,466430,7907,0.016952168599789895,埼玉7区,205113,3311,3299,2,14,14034,30347,827,8700,13576,32460,5026,5453,8182,10895,7209,10296,25792,1409,14790,5999,6791,3313,44395,150614,埼玉7区,466430,14987,17250,17880,18892,21926,20776,21528,24705,29028,35075,30543,25422,22210,25542,31655,26492,18193,9660,3664,893,133,49976,50117,250105,116232,59035,14350,256755
1108,11,埼玉8区,494495,7143,0.01444503988917987,埼玉8区,218531,2824,2807,6,18,14448,26839,718,12074,13928,33336,6295,6497,9861,11243,7725,11539,28100,1071,16541,8609,6859,2830,41305,167537,埼玉8区,494495,15237,18064,18760,20178,22599,20419,21593,25572,30502,37370,33428,28842,24460,27816,33479,28408,20315,11571,4852,1239,217,49574,52061,264963,127897,66602,17879,272601
1109,11,埼玉9区,475677,6710,0.014106210727026953,埼玉9区,217752,3274,3184,4,45,14870,39725,651,6044,16102,32003,3936,4704,6343,10881,8938,9990,30093,1414,14009,9193,5533,3278,54640,154301,埼玉9区,475677,14077,17141,19462,22075,23083,20347,21306,24997,30124,38004,32988,29211,28751,35456,41018,32431,21247,12173,5223,1545,240,4778,50680,270886,149333,72859,19181,284267
1110,11,埼玉10区,389998,8141,0.02087446602290268,埼玉10区,178920,3885,3845,8,35,11467,36369,680,3708,13162,26591,2847,3284,5182,8962,6971,8909,22833,1363,11660,5560,5444,3893,47871,121712,埼玉10区,389998,11861,14309,15879,18486,19472,16466,18045,20869,25197,30516,25893,23004,24279,30195,33894,25188,16085,9458,4455,1206,196,5045,42049,222227,120677,56588,15315,233936
1111,11,埼玉11区,404351,7720,0.019092323253806717,埼玉11区,196389,10929,10721,5,257,12986,47964,635,2133,11957,27221,2560,2368,4060,9710,7089,7930,24795,1630,11052,5526,5582,10934,61207,118666,埼玉11区,404351,12607,15047,17377,18943,17058,16685,18323,21645,25312,30371,27095,25670,26763,31330,32607,23886,17822,12097,6013,1699,254,5747,45031,227865,125708,61771,20063,240252
1112,11,埼玉12区,437517,7845,0.01793073183442015,埼玉12区,211089,6764,6746,39,24,13645,45268,763,3699,17837,32059,3789,3160,5349,9439,7274,9228,24780,1423,13079,7137,6333,6803,58937,139016,埼玉12区,437517,13543,16105,18248,19956,20072,19607,21050,24259,28029,33002,29369,28032,29497,33748,35523,25231,17949,11618,5574,1517,216,5372,47896,252873,131376,62105,18925,266665
1113,11,埼玉13区,437194,6077,0.013900007776867935,埼玉13区,204597,4257,4246,12,9,14335,33900,812,6487,19376,32473,4140,4115,6619,9399,6502,9252,23379,1095,14238,7046,7151,4269,48244,144933,埼玉13区,437194,13939,16644,18698,19621,19531,18885,20673,24394,29245,35778,29584,26140,25611,31899,37076,29515,19220,10734,4672,1226,187,3922,49281,249462,134529,65554,16819,261740
1114,11,埼玉14区,483812,14917,0.030832224087042073,埼玉14区,220753,1538,1532,5,15,20039,33756,662,11691,19395,36562,5292,5988,7471,10876,7222,6974,21588,814,17070,4607,9188,1543,53810,156212,埼玉14区,483812,18616,19707,20262,21200,25833,27139,27831,30710,35377,43280,36842,28615,23276,26912,33807,28009,18906,9582,3370,830,133,3575,58585,300103,121549,60830,13915,305815
1115,11,埼玉15区,505406,19093,0.037777549138712244,埼玉15区,235107,569,560,7,39,16323,27226,798,17955,14704,38112,8944,8276,11137,12766,8399,10958,24044,1157,18456,6909,8328,576,43588,182615,埼玉15区,505406,21134,21973,21502,22438,30768,32403,32852,34420,37188,42788,38317,32430,24677,23144,26094,21167,15452,9309,3818,979,175,12378,64609,328281,100138,50900,14281,328987
1116,11,埼玉16区,441852,7204,0.01630410182595077,埼玉16区,199965,2885,2882,10,8,16172,28887,653,6291,19156,33689,4132,4819,6166,9766,7170,8318,22781,1007,14863,5398,7794,2895,45067,144209,埼玉16区,441852,13637,15794,17842,18993,19515,18297,19451,22792,27636,35380,30912,24879,22872,28496,35945,29591,19406,9962,3995,1075,179,25203,47273,240727,128649,64208,15211,250230
1201,12,千葉1区,521262,14714,0.028227647516987617,千葉1区,224270,703,671,16,58,13694,21669,1177,13228,14423,36712,8605,6879,11253,12736,8482,12648,26874,884,18431,8794,7004,719,35421,181126,千葉1区,521262,16885,19777,21847,23649,27380,23795,24890,29142,34726,43653,38634,31379,25709,27606,33890,27793,19999,11424,4495,1151,203,33235,58509,302957,126561,65065,17273,306914
1202,12,千葉2区,376826,9253,0.024555099701188347,千葉2区,168039,1422,1411,13,17,11313,18303,649,9842,13877,28609,5642,4735,6494,8658,6266,8415,18975,538,13121,5061,6089,1435,29633,130882,千葉2区,376826,13584,14670,15996,18087,20005,18761,19698,21712,25344,32496,29503,23155,18476,20574,25780,22834,16374,9211,3643,917,135,5871,44250,227237,99468,53114,13906,229724
1203,12,千葉3区,398945,6390,0.0160172454849666,千葉3区,178402,2818,2770,5,61,17625,26062,1098,4436,11710,26123,3694,3862,6715,8819,7553,7954,23080,1040,12803,5446,7498,2823,43748,124333,千葉3区,398945,14039,16311,17828,19186,18640,18723,20178,22653,25773,31971,28214,25174,23969,26944,28877,22864,15344,9146,3994,1056,166,7895,48178,234481,108391,52570,14362,242239
1204,12,千葉4区,488099,14428,0.029559577053015883,千葉4区,227543,1901,1893,102,49,14971,21143,785,18962,16197,37643,8810,7635,10387,12516,8659,10664,23586,705,17858,6616,8354,2003,36163,181023,千葉4区,488099,19313,21002,21392,21763,26751,29223,28886,31846,36213,42814,36938,29452,22960,23862,28713,23859,17065,10521,4392,1198,215,9721,61707,306846,109825,57250,16326,308945
1205,12,千葉5区,503057,16788,0.033371963813245815,千葉5区,245273,369,358,75,56,13560,20706,882,26667,17583,38105,11911,9079,13078,14788,11670,9909,21383,649,19770,5358,9675,444,34322,200832,千葉5区,503057,19839,19409,19809,21783,33326,39342,36074,36133,37469,43630,39260,31178,22947,22504,25300,18389,12165,7158,3104,688,107,13443,59057,341142,89415,41611,11057,341863
1206,12,千葉6区,498232,15513,0.031136097239840073,千葉6区,224960,1542,1537,11,19,15330,21736,741,15441,13673,37971,7352,7117,9997,12968,9163,10528,26893,1072,17781,7134,8491,1553,37085,177831,千葉6区,498232,18104,19118,19628,21375,27363,28069,28256,30468,33661,41345,38304,31424,25222,27252,33497,28119,20210,12194,4902,1205,216,8300,56850,305487,127595,66846,18517,311364
1207,12,千葉7区,352487,5908,0.016760901820492672,千葉7区,158989,1895,1891,10,19,10748,21823,662,8605,13706,25183,4490,3968,6780,7175,5798,7999,18418,729,11114,4543,5324,1905,32590,119170,千葉7区,352487,16083,16569,15946,14996,16192,16701,20098,24402,26126,28180,22269,18742,17385,21236,25755,20367,13452,7762,3460,935,131,5700,48598,205091,93098,46107,12288,211331
1208,12,千葉8区,426468,7882,0.018482043201365636,千葉8区,188382,2063,2050,7,19,12418,18117,701,11359,13177,31715,6351,5819,8852,9930,6874,10611,22747,726,13918,7217,5761,2070,30554,149997,千葉8区,426468,16809,17872,18652,18835,20837,20981,23720,27270,30745,34543,29031,24126,21651,24999,30072,23610,16366,9822,4122,1061,160,11184,53333,251739,110212,55141,15165,257903
1209,12,千葉9区,476714,10420,0.02185796934849826,千葉9区,209363,4933,4893,17,26,18183,22415,864,6437,17751,34736,4986,5481,7002,10035,8210,10411,26721,935,15264,7896,7060,4950,40624,156729,千葉9区,476714,14962,18131,19864,21248,21310,19996,22044,25430,29792,38506,33991,29379,27591,33132,40095,33318,22524,12206,4924,1257,216,6798,52957,269287,147672,74445,18603,281171
1210,12,千葉10区,395257,10632,0.026898954351219587,千葉10区,192652,18551,18498,703,54,13605,27858,739,1519,20043,27427,3084,2284,3333,9574,7250,7059,21987,2033,12600,6936,6013,19254,41517,125868,千葉10区,395257,11247,14252,16045,17109,18794,17896,18929,21495,24303,28057,25238,25300,26548,30700,31937,22313,18049,13018,6834,1689,243,5261,41544,223669,124783,62146,21784,237260
1211,12,千葉11区,410235,5978,0.014572135483320536,千葉11区,189325,12513,12392,665,265,16740,26917,1004,2397,12212,27572,2857,3038,4639,10084,9277,8156,23746,2115,12535,7037,5556,13178,43922,126669,千葉11区,410235,10291,13278,15333,17230,16670,14464,16385,20026,23135,28519,26780,26987,29686,35056,38774,28485,20791,14457,7643,1966,326,3953,38902,219882,147498,73668,24392,237708
1212,12,千葉12区,444813,5321,0.011962330237650429,千葉12区,209627,9735,9595,1563,237,19322,27752,1525,2638,12876,29505,3381,3288,6597,13593,8495,8793,28427,2300,13476,9099,7025,11298,47311,143993,千葉12区,444813,14075,16565,17850,19426,17961,18575,20469,23167,26961,32472,28099,25986,27308,33481,38191,30088,21113,14475,7460,2099,369,8623,48490,240424,147276,75604,24403,254479
1213,12,千葉13区,496099,9627,0.019405400938119207,千葉13区,220925,6329,6292,18,27,14971,22322,942,10702,19222,35454,6512,5382,8255,10964,8708,10874,25893,1213,17397,8680,7060,6347,37320,170198,千葉13区,496099,17754,20951,22589,23307,22773,20733,24258,29279,34210,40397,34259,29658,29065,34315,39020,30108,19597,11437,4882,1303,189,6015,61294,287939,140851,67516,17811,298947
1214,12,千葉14区,495986,9323,0.01879690152544628,千葉14区,224385,1461,1453,32,49,14218,22811,1006,14882,16975,36668,8079,6942,9238,11746,8549,12066,25280,902,16198,9520,7763,1493,37078,178051,千葉14区,495986,18068,20893,21866,23551,28217,24211,25973,29846,34941,41273,37142,30092,24264,26024,32638,28715,21599,12324,4652,1227,167,8303,60827,299510,127346,68684,18370,301983
1301,13,東京1区,416065,29940,0.07195991011019913,東京1区,152350,116,108,2,36,4390,9292,529,19297,3468,17454,8608,8455,14871,9253,4686,8420,15802,476,11236,7689,8270,118,13718,130244,東京1区,416065,14292,12720,11166,11682,25289,34271,33143,32637,31722,32746,27909,22974,17737,16165,18884,14567,11236,7984,3934,1081,186,33740,38178,270110,74037,38988,13185,274593
1302,13,東京2区,380623,21660,0.0569067029580451,東京2区,174055,90,85,29,51,5680,16703,662,21411,5975,28028,9912,7738,16583,11868,4969,6094,13168,286,12357,4059,8392,119,22434,143110,東京2区,380623,16709,14025,11000,9700,15881,28592,32463,34514,34587,35897,30682,24168,17688,15969,18751,14356,10923,7678,3405,954,157,2524,41734,264172,72193,37473,12194,270441
1303,13,東京3区,446949,12150,0.0271843096192183,東京3区,211660,991,953,441,30,10213,19293,758,28435,11099,29096,8829,8346,16083,12209,7358,8625,18506,960,16198,6274,7916,1432,29536,172776,東京3区,446949,18936,16649,14278,12888,20144,31801,35242,36580,35352,37099,31413,25325,19900,19615,23147,17388,13012,9230,4274,1218,192,23266,49863,285744,88076,45314,14914,292471
1304,13,東京4区,513628,15547,0.030268988450785392,東京4区,240655,260,256,23,22,13519,28133,843,23909,23602,36695,6633,8515,11471,13418,7557,7314,21395,704,20256,4498,11888,283,41674,186810,東京4区,513628,17783,16764,16124,17281,31532,39380,35601,35152,35660,40891,36378,29974,24235,24966,28971,23115,16997,11191,5192,1459,214,24768,50671,326084,112105,58168,18056,333769
1305,13,東京5区,457259,11426,0.024988026479522547,東京5区,189805,420,414,4,60,6404,13080,590,25618,5576,27513,9428,9805,19521,9277,8480,10693,18057,426,12544,5199,7110,424,19544,162727,東京5区,457259,17681,18598,17044,16843,26131,31224,32348,35444,38795,39791,36227,30323,23071,19853,22744,17158,13434,10305,5477,1500,241,3027,53323,310197,90712,48115,17523,313207
1306,13,東京6区,486466,10938,0.022484613518724845,東京6区,203557,759,741,11,69,8605,13560,630,24669,6476,29080,9859,9883,18587,10520,8391,12648,21276,544,15083,5329,7578,770,22234,172975,東京6区,486466,17857,19152,18608,19992,31663,33794,32546,35374,38619,41536,37819,32415,24677,21208,24134,18973,15119,11971,6054,1631,243,3081,55617,328435,99333,53991,19899,329651
1307,13,東京7区,504369,26113,0.051773602263422216,東京7区,185936,131,124,8,65,4673,11718,638,26299,5268,23009,10903,11724,22855,10018,7415,8590,16127,357,12831,5092,8215,139,16456,161126,東京7区,504369,22279,19734,15685,13191,20887,33173,38953,43569,44575,44123,38239,30406,22028,18741,21452,16010,12354,9156,4533,1324,237,33720,57698,329144,83807,43614,15250,334694
1308,13,東京8区,472388,10959,0.023199149851393347,東京8区,201414,385,381,5,67,7618,13959,769,27272,5671,27574,10661,9772,18446,10170,7547,12489,20419,476,15568,5923,6623,390,21644,172757,東京8区,472388,16842,15949,15156,15772,26857,33993,33514,34600,35212,37097,33736,28982,23023,20514,23441,18130,14181,10837,5767,1514,283,26988,47947,302786,94667,50712,18401,307528
1309,13,東京9区,369336,7275,0.019697511209305348,東京9区,153152,739,733,5,39,10301,10931,521,15588,6520,22577,6690,6019,10188,8152,5545,9192,18616,613,11558,3942,5416,744,21271,125721,東京9区,369336,13744,15254,15659,16984,20974,20369,20566,23192,25671,29839,28916,24851,18641,16946,19227,16326,13897,10235,4771,1139,206,11929,44657,230003,82747,46574,16351,229965
1310,13,東京10区,541668,34030,0.06282446073978895,東京10区,225437,189,177,7,64,7837,17379,740,28255,5932,28910,12072,10800,21380,12044,6953,15109,24606,398,17404,7301,8057,196,25280,191904,東京10区,541668,19871,18531,16152,16989,36889,46263,43790,42355,42544,42446,37078,31085,24413,22654,25703,19334,14923,10926,5332,1459,228,22703,54554,363852,100559,52202,17945,369517
1311,13,東京11区,479076,18164,0.0379146523724837,東京11区,195196,257,253,7,29,11448,17907,589,19652,8756,28605,7034,7885,11794,11030,7066,9201,22999,707,16582,4893,8755,264,29384,156793,東京11区,479076,16609,16930,15662,17654,31166,35791,32690,33030,34148,37038,32673,28382,23370,23320,26110,20004,15528,11281,5406,1431,221,20632,49201,305942,103301,53871,18339,311608
1312,13,東京12区,460620,25253,0.054823932959923584,東京12区,191376,154,143,2,31,9722,18346,742,19761,9740,27279,7130,7079,11253,10740,6216,8640,20058,706,17386,7566,8825,156,28099,154296,東京12区,460620,17239,15800,14301,15629,26352,33834,33717,33132,33489,36429,31088,26264,22048,24432,29613,24172,18534,12656,5604,1427,244,4616,47340,291982,116682,62637,19931,300785
1313,13,東京13区,469525,19015,0.040498376018316386,東京13区,186784,277,270,4,38,13674,18448,713,14598,12133,29682,5819,6561,8632,11508,6447,6732,19951,826,16963,5147,8631,281,32160,145712,東京13区,469525,15504,16698,17027,18006,25758,30456,27505,29075,31936,38171,35217,29219,23373,24333,28280,24309,19056,11880,4446,1027,171,18078,49229,288716,113502,60889,17524,295043
1314,13,東京14区,480269,23260,0.048431191686325786,東京14区,219007,246,240,6,42,12947,24957,839,22048,11317,35808,8076,8008,12229,13985,7596,7783,20175,769,18619,4931,8626,252,37946,172183,東京14区,480269,17811,16818,16367,17239,25630,36128,35697,35140,35356,39584,35269,29530,23715,24285,27806,22681,17546,11619,4970,1199,191,5688,50996,313288,110297,58206,17979,320334
1315,13,東京15区,524310,28682,0.05470427800347123,東京15区,235716,185,157,18,57,11622,22455,1157,28274,14898,35479,12560,8657,16336,13284,6808,8554,18170,559,20401,5749,10493,203,34134,190886,東京15区,524310,23013,22822,20637,18835,24331,32287,35814,40970,43159,48613,41154,31655,24898,25615,29728,22997,16699,10055,3832,953,123,6120,66472,341716,110002,54659,14963,348496
1316,13,東京16区,489748,19347,0.03950398980700279,東京16区,214781,517,510,23,24,16714,20062,678,18663,17718,34857,7706,7544,9398,12703,7596,6968,18698,630,19817,4612,9853,540,36800,167588,東京16区,489748,20248,21329,21725,23793,30100,31085,30292,32989,35509,43377,40139,31035,21410,21014,24509,20735,15895,9172,3325,800,125,11142,63302,319729,95575,50052,13422,316950
1317,13,東京17区,453093,19229,0.04243941089356931,東京17区,196619,399,387,8,17,13126,22409,740,16327,12221,31115,5936,6706,8692,12193,6740,7639,20653,723,17178,5971,7826,407,35552,152834,東京17区,453093,16760,17478,17318,18068,25313,27954,27613,29265,31874,37461,34301,29914,24205,24464,27723,22866,18300,12225,4949,1184,182,3676,51556,285968,111893,59706,18540,292364
1318,13,東京18区,483611,9933,0.020539235046349236,東京18区,206709,1071,1056,6,142,9715,15983,700,22334,6730,29130,9689,8520,15152,11013,7020,14503,24228,716,16139,7591,6327,1077,25840,173465,東京18区,483611,18673,19512,18633,20649,29375,28573,29161,32116,34436,37850,35452,31519,25615,23519,26085,20196,16092,12303,5820,1505,242,16285,56818,304746,105762,56158,19870,307616
1319,13,東京19区,405111,8495,0.02096956142884296,東京19区,168246,1241,1227,8,25,8558,16251,591,14166,5660,23653,6355,5751,11850,8704,5384,13316,21848,770,12447,6382,5286,1249,24834,136877,東京19区,405111,15832,16640,16130,18578,25635,22486,22795,25110,27225,31108,30097,27214,21342,19852,21983,17585,14136,10362,4755,1120,199,14927,48602,251590,89992,48157,16436,252864
1320,13,東京20区,498024,8524,0.0171156410132845,東京20区,206234,2087,2078,6,12,16168,20419,641,11844,11418,31404,5359,5732,8983,10629,7482,10936,29497,1123,16739,8427,7328,2093,36599,160214,東京20区,498024,17656,20307,22238,23691,24790,21938,24054,28197,32751,40807,37846,32585,26799,28687,33696,28868,22955,14887,5929,1463,261,7619,60201,293458,136746,74363,22540,298454
1321,13,東京21区,491757,9657,0.019637747912078528,東京21区,204292,1372,1352,2,20,10771,22223,801,14407,9582,30370,5711,6290,11611,11744,6820,13627,25802,860,17736,8051,6492,1374,33014,163412,東京21区,491757,17613,20018,20849,24222,32696,26393,26139,29352,33561,40038,36765,31033,24987,26240,29842,24084,17776,11415,4978,1220,170,12366,58480,305186,115725,59643,17783,307204
1322,13,東京22区,522777,8550,0.016354965884115023,東京22区,223137,1513,1502,6,96,11733,17153,815,24262,8115,31492,9899,8623,16077,11885,8043,14580,26205,692,18222,6345,7381,1519,28982,185255,東京22区,522777,20387,21345,20226,21705,31767,30585,30776,35317,38438,42446,39284,33252,25343,23879,27365,22096,17555,13051,6166,1627,259,19908,61958,328913,111998,60754,21103,331087
1323,13,東京23区,431079,6276,0.014558816365445777,東京23区,182372,1332,1327,5,18,11808,18328,583,12363,9009,28821,4989,6486,10402,9549,6578,12015,24179,630,14068,4565,6644,1337,30154,144237,東京23区,431079,14261,17272,19641,22035,22989,17863,18850,23413,28670,36193,33470,27070,22577,23820,28938,25265,19411,12099,5249,1464,224,10305,51174,253130,116470,63712,19036,254915
1324,13,東京24区,461614,9343,0.02023985407721603,東京24区,189360,1335,1297,11,38,12506,24463,651,8962,10038,28462,4112,5278,9280,11126,6825,11054,27309,1098,15391,5076,6345,1346,37007,144662,東京24区,461614,13838,16711,18560,23155,29278,21675,21572,24610,29283,35795,33015,28279,24031,27392,33260,27875,20424,12736,5599,1416,253,12857,49109,270693,128955,68303,20004,274930
1325,13,東京25区,492992,10599,0.021499334674802025,東京25区,214962,2365,2158,24,157,15004,35904,897,7008,12600,30234,3601,4723,7246,11763,8127,9316,32222,1477,16711,7745,7838,2389,51065,153670,東京25区,492992,15643,18820,20684,22056,23656,22499,23616,26701,31614,39125,36080,31753,28857,32717,37225,30410,21819,14267,6858,2007,388,6197,55147,285957,145691,75749,23520,296618
1326,13,東京26区,522480,13453,0.025748354003981015,東京26区,223859,351,341,9,60,8290,20581,945,28666,8101,32334,10031,10981,20762,10858,8536,11718,21057,473,15065,6603,8438,360,28931,186130,東京26区,522480,19501,20001,18605,18319,28026,36117,37278,40215,41878,45033,40476,33696,25447,22563,26796,20875,15869,11817,5787,1598,253,12330,58107,346485,105558,56199,19455,350729
1327,13,東京27区,463600,18539,0.039989214840379636,東京27区,191113,217,211,9,38,8223,12099,633,26930,5856,26115,8957,8953,16213,11411,8046,9373,17974,528,16954,6122,6462,226,20360,164065,東京27区,463600,15159,13367,11594,13197,29399,41525,39636,37561,35337,35503,30787,26088,20335,19250,21938,17221,13312,10108,4863,1361,230,25829,40120,309368,88283,47095,16562,315421
1328,13,東京28区,383272,10854,0.028319313698887474,東京28区,168578,403,395,5,24,9349,11962,605,20622,6005,23711,7573,6737,11798,8545,6061,9396,18135,479,13738,7384,6046,408,21335,140789,東京28区,383272,14329,13726,13208,14320,23958,29099,27909,27669,27027,29234,27018,23294,19117,17219,18804,14647,11844,8706,4104,1061,166,16813,41263,248645,76551,40528,14037,251544
1329,13,東京29区,442993,27590,0.062280893829022126,東京29区,183169,357,353,10,22,12871,20124,634,14684,11354,29287,5418,6062,8818,11578,6247,6779,19097,654,16059,4195,8919,367,33017,140866,東京29区,442993,16266,17208,17356,17751,23526,27782,27956,29140,32256,37099,32559,27163,21543,22510,26676,22592,17901,11545,4617,1126,203,8218,50830,276775,107170,57984,17491,281534
1330,13,東京30区,502892,8571,0.017043420853781726,東京30区,222775,1527,1518,6,35,13116,21076,697,20284,9611,31647,7502,7379,12658,11870,8074,14417,27171,901,19570,7758,7476,1533,34227,179539,東京30区,502892,18726,21646,22321,23852,28831,25015,26204,31393,36290,42642,39193,32237,25722,26521,31388,25309,18227,11560,4975,1236,217,9387,62693,311379,119433,61524,17988,314048
1401,14,神奈川1区,517058,19586,0.03787969628165506,神奈川1区,224172,458,450,154,26,12477,25056,1069,14186,16647,33296,5944,7345,13257,13445,7325,11292,27703,680,18281,7651,7880,612,37559,178121,神奈川1区,517058,16225,18759,20144,21133,24746,23059,24498,28871,34038,41861,39840,35032,29489,31377,36364,28134,20398,13751,6033,1563,225,21518,55128,302567,137845,70104,21572,312811
1402,14,神奈川2区,518340,16274,0.03139638075394529,神奈川2区,229534,448,442,5,18,15599,21648,1022,17511,14468,34736,6481,7736,13015,13307,7672,10901,29177,748,19581,7573,7888,453,37265,183928,神奈川2区,518340,16591,18510,18895,20110,26231,28958,28938,31779,35405,43150,40538,34385,28445,29356,34156,27498,21059,13995,5806,1389,216,12930,53996,317939,133475,69963,21406,327185
1403,14,神奈川3区,544704,18666,0.03426815297849841,神奈川3区,250922,772,764,30,25,18702,31200,1106,22888,18427,36892,6855,8179,13980,13771,7946,9857,25705,621,20038,5050,8878,802,49927,191315,神奈川3区,544704,20650,21918,21189,21487,31286,35452,35023,37520,39717,46422,41088,33774,27044,26951,29951,22717,16482,10994,5033,1261,208,18537,63757,348813,113597,56695,17496,354277
1404,14,神奈川4区,381629,3201,0.008387727347764452,神奈川4区,164336,939,926,118,20,8797,17488,602,11435,7352,25349,4494,5489,11489,9649,5388,10490,22053,623,11830,5876,4855,1057,26305,132119,神奈川4区,381629,11724,14940,16724,17171,15675,13142,14757,18986,25104,32794,30939,25250,20648,22076,28970,26081,19996,13405,6299,1704,313,4931,43388,214466,118844,67798,21721,219371
1405,14,神奈川5区,436087,6130,0.014056828109987228,神奈川5区,196021,1351,1347,9,22,14112,23744,837,15258,10602,30446,5946,5775,9716,9593,6046,9886,26268,677,14793,4827,6113,1360,37878,150670,神奈川5区,436087,16404,17982,19862,20849,21205,19611,21355,24724,29491,36544,34189,27813,22796,24624,29424,24836,19167,11887,5187,1315,237,6585,54248,258577,116677,62629,18626,262352
1406,14,神奈川6区,452985,7670,0.016932127995408237,神奈川6区,196075,778,770,6,39,15411,19418,980,13643,12549,30142,5202,6265,9574,10563,6721,10023,26395,696,16444,5145,6081,784,34868,154342,神奈川6区,452985,14692,16923,18119,19583,24084,21698,21657,25246,29046,35633,34249,30282,25109,26228,30967,26138,21073,14146,6282,1610,230,9990,49734,266587,126674,69479,22268,273232
1407,14,神奈川7区,358530,6083,0.016966502105820992,神奈川7区,167663,739,731,6,31,8679,20384,560,18885,6998,26042,6533,6621,12000,7913,5341,9075,17113,516,11703,3852,4672,745,29094,133152,神奈川7区,358530,15145,14733,13525,14262,20800,23926,24138,25837,27340,30047,27875,22646,17076,15926,17719,13627,10213,7002,3395,905,145,12248,43403,233947,68932,35287,11447,235611
1408,14,神奈川8区,493838,7756,0.015705555263061974,神奈川8区,222575,1243,1236,6,29,12432,24085,647,19108,9902,36284,9170,8482,14704,10896,7375,13650,28044,818,15484,3962,6254,1249,36546,178526,神奈川8区,493838,18337,21151,22565,25461,28437,23448,24020,28285,33560,41380,41975,35569,27261,25255,29037,23068,16952,11381,5304,1458,274,9660,62053,309396,112729,58437,18417,309190
1409,14,神奈川9区,402439,7194,0.017876001083394006,神奈川9区,179902,1046,1039,5,28,10101,17162,535,19180,6603,26472,6492,6591,12111,9239,6773,11949,21723,696,13806,3976,5414,1051,27291,146146,神奈川9区,402439,15092,15505,15887,17789,27429,26618,24960,25679,27654,31934,30504,25501,20013,18853,21396,17133,13037,9114,4348,1246,207,12540,46484,258081,85334,45085,14915,259145
