kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
702,7,福島2区,519577,3933,0.0075696191324866186,福島2区,249328,13978,13428,25,130,24113,45013,986,2888,13785,38551,4678,3896,6979,11467,8100,11041,29208,2453,14667,7629,9741,14003,69256,156328,福島2区,519577,18270,20818,22261,24269,21617,23360,26564,30257,33853,36021,32516,34284,37019,39145,36138,25307,20911,16096,8328,2112,321,10110,61349,299760,148358,73075,26857,314636
703,7,福島3区,395173,2748,0.006953916385987909,福島3区,194606,18013,17074,50,120,16304,42554,1065,1055,7129,24981,2720,1743,3642,11542,6234,8267,24419,2685,10205,6999,4879,18063,58978,112686,福島3区,395173,12685,15277,16694,17083,13529,15389,18338,21113,23299,24404,23047,26229,30116,33305,30070,21941,20327,16588,8960,2540,385,3854,44656,212547,134116,70741,28473,228769
704,7,福島4区,452508,3238,0.007155674595808251,福島4区,204996,6460,6059,1027,152,28376,34870,2637,1617,9726,27989,3206,2815,5766,10135,7290,8394,25648,1563,15488,6652,5185,7487,63398,128926,福島4区,452508,14759,16534,17927,18691,15883,19378,21120,23914,27703,31290,28801,29822,32107,36332,34690,25552,20757,15268,7656,1955,304,12065,49220,248709,142514,71492,25183,266350
801,8,茨城1区,501830,6211,0.012376701273339577,茨城1区,239513,10528,10416,60,152,18508,38666,1372,3675,12969,38011,6240,3711,8518,11184,9115,12360,31476,1817,13928,10165,7058,10588,57326,164541,茨城1区,501830,17370,19798,21336,22706,20635,21720,25160,28828,32667,38063,33633,31581,32192,36267,36685,27494,20849,14876,7819,2205,348,9598,58504,287185,146543,73591,25248,300746
802,8,茨城2区,364132,9833,0.027003943624839342,茨城2区,180072,18863,18818,910,138,18000,35053,1020,1239,12336,23413,2285,1972,4321,7977,6433,6119,17093,1518,9219,5989,6174,19773,53191,100934,茨城2区,364132,12154,14099,15713,16295,15610,17148,18777,21244,23287,26714,23107,22227,24160,28704,28945,20579,15040,10232,4980,1327,160,3630,41966,208569,109967,52318,16699,220978
803,8,茨城3区,459781,8339,0.018136895608996458,茨城3区,209255,6248,6224,19,38,13687,39152,1030,6353,12396,30978,4041,3860,9200,9190,9097,10322,24791,1452,12836,8295,6270,6267,52877,143841,茨城3区,459781,14747,18009,19869,21026,20179,18771,21273,26048,31113,36472,30619,27711,27679,34391,39438,29999,19212,11140,5297,1374,218,5196,52625,260891,141069,67240,18029,274256
804,8,茨城4区,313688,2330,0.007427762617632807,茨城4区,149108,7095,6763,95,57,11253,31144,1081,3403,6391,21538,2798,1692,6002,6688,5412,6421,17995,1370,9160,5667,3846,7190,42454,95618,茨城4区,313688,9866,11862,13294,13780,11365,12990,15107,16876,19282,23490,21576,20642,21120,23568,23497,18729,14645,10408,5540,1517,225,4309,35022,176228,98129,51064,17690,186016
805,8,茨城5区,281899,2313,0.008205066353552158,茨城5区,124761,2092,1994,297,22,9253,33231,1043,3979,5194,16296,1773,1394,6107,5805,4246,5489,14752,807,7081,3256,2644,2389,42506,77222,茨城5区,281899,8179,10074,11785,13149,11756,11752,12701,14245,16514,21769,20124,18274,17654,20645,21725,19215,14717,8575,4025,1184,191,3646,30038,157938,90277,47907,13975,165434
806,8,茨城6区,546750,12657,0.02314951989026063,茨城6区,258060,10074,10027,71,39,15857,42942,964,5641,14471,36893,4463,4170,21407,11995,8408,16296,31632,1836,13635,8953,8313,10145,58838,180764,茨城6区,546750,21074,24090,24260,25543,28517,26258,29126,33274,37325,41287,34743,30678,29148,33203,36096,27022,18998,12716,6413,1795,260,24924,69424,315899,136503,67204,21184,323559
807,8,茨城7区,398929,16136,0.04044830032411782,茨城7区,202175,12917,12886,12,30,16054,56864,453,1712,16188,26411,2574,2095,3877,7463,6493,7207,18752,1650,9298,4990,7135,12929,72948,109163,茨城7区,398929,12901,15675,17586,18648,17994,18158,19938,23025,26408,30219,26367,24366,26332,30985,31103,21939,15820,10477,5444,1447,204,3893,46162,231455,117419,55331,17572,243792
901,9,栃木1区,505456,8002,0.015831249406476528,栃木1区,222444,5418,5320,20,50,14989,42344,973,4184,9878,35467,5519,4403,11917,11631,7578,11350,25652,1379,12847,9315,7530,5438,57383,152093,栃木1区,505456,19336,21544,22728,22525,22296,25583,28087,32001,36315,41142,34749,30275,27872,30530,33077,24549,17229,11978,5614,1479,224,16323,63608,300845,124680,61073,19295,308850
